id,url,created_at,text,rs_related,has_media
2098787217061593216,https://x.com/1ChartMaster/status/2098787217061593216,2026-09-12T14:54:00.000Z,"Subscribers
Here's a list of Stocks Printing RS New Highs.  
D = Daily  W = Weekly

$OSCR
 D

$VLO
 D

$MPC
 D W 

$DINO
 D

$PSX
 D W

$PBF
 D

$HPE
 D W 

$HPQ
 D

$DELL
 D W 

$FRO
 D W 

$INSW
 D W 

$AVT
 D 

$NSIT
 D 

$NMAX
 D

$SM
 D

$JXN
 D 

$DBX
 D  

$ANET
 W

$CVI
 D

$MATX
 D W

$QRVO
 D

$SWKS
 D",True,False
2098743735303491674,https://x.com/1ChartMaster/status/2098743735303491674,2026-09-12T12:01:13.000Z,"Subscribers
RS new highs often times will come in clusters as my good friend 
@bobtabor
 pointed out yesterday. Each blue dot  represents a historical RS new high. 
These 4 charts are current examples of relentless RS 
$FRO
 
$INSW
 
$VLO
 
$MPC
 
Tracking RS keeps you in a strong basket of stocks.",True,True
2098431375321825371,https://x.com/1ChartMaster/status/2098431375321825371,2026-09-11T15:20:01.000Z,"Subscribers
I like this spot here.  Just needs to clear this downtrend supply pivot. 

$MRVL
  RS 98",True,True
2098426334632358238,https://x.com/1ChartMaster/status/2098426334632358238,2026-09-11T14:59:59.000Z,"$HPE
 
$DELL
 
$HPQ
 
$INSP
  RS names are outperforming. 
HP Inc
HPQ
$34.67
+6.02%
Quote
Elite Swing Traders
@1ChartMaster
·
Sep 9
Subscribers
Stocks Printing RS New highs.  
D= daily  W = weekly 
$VLO D&W
$MPC D&W
$PSX D&W
$DINO D
$OKTA D
$DELL D&W
$HPE W
$ANF D
$PBF D 
$SUNC D
$CLMT D&W
$HPQ D
$FRO D&W
$CHYM D&W
$TVTX W
$TNK D&W
$INSP D&W",True,True
2098417506092204220,https://x.com/1ChartMaster/status/2098417506092204220,2026-09-11T14:24:54.000Z,"Subscribers
The RS names continue to outperform. Track RS and buy it on weakness.     Look at the 8ema pullback yesterday. Felt terrible at the time but what a great spot.   I didn't trim into strength Wednesday and it felt terrible. Got my shot again today and trimmed for 25%",True,True
2098126920583885144,https://x.com/1ChartMaster/status/2098126920583885144,2026-09-10T19:10:13.000Z,"Subscribers
$FRO
  & 
$TNK
  also printing RS new highs with 

$VLO
 
$MPC
 
$DINO
 
$PSX
 
$PBF
  
Frontline PLC
FRO
$53.99
+0.60%
Teekay Tankers Ltd
TNK
$100.84
+0.21%",True,True
2097671705892204982,https://x.com/1ChartMaster/status/2097671705892204982,2026-09-09T13:01:22.000Z,"The Relative Strength (RS) line is the ultimate footprint of institutional accumulation. When a stock is outperforming the broader market while the tape is messy, big money is quietly bidding it.

Track RS, let the stock pull back into moving average support, and buy the weakness
Show more
Quote
Elite Swing Traders
@1ChartMaster
·
Sep 1
When you align with RS, you put yourself right where institutional capital is heavy-bidding. Stop fighting gravity and trade the footprints.

$MPC $PSX $VLO Blue skies and new ATHs.   x.com/1ChartMaster/s…",True,True
2097325895887282602,https://x.com/1ChartMaster/status/2097325895887282602,2026-09-08T14:07:14.000Z,"Subscribers
$VLO
 
$PSX
 
$MPC
 printing RS new highs again today. 
Valero Energy Corp
VLO
$412.85
+2.37%
Phillips 66
PSX
$273.86
+3.49%",True,True
2097326408976474118,https://x.com/1ChartMaster/status/2097326408976474118,2026-09-08T14:09:16.000Z,"Subscribers
$PBF
 
$DINO
 also printing RS new high 
PBF Energy Inc
PBF
$77.19
+1.66%",True,True
2096641281816395823,https://x.com/1ChartMaster/status/2096641281816395823,2026-09-06T16:46:49.000Z,"Subscribers
September 6th Weekly Watchlist 


$AMD
 Grade B  RS 98
Failed undercut and rally testing the down trend pivot. 

$ASX
  Grade A- 
Triangle building, double inside weeks
RS 98 

$CDNA
 Grade A   RS 99 
RS new high weekly   Base forming under 51 pivot.  

$CHYM
 Grade B+   RS 96
Base
Show more
Advanced Micro Devices Inc
AMD
$545.52
+6.44%
ASE Technology Holding Co Ltd
ASX
$40.02
+5.45%
CareDx Inc
CDNA
$54.27
+1.34%",True,False
2096560574003831237,https://x.com/1ChartMaster/status/2096560574003831237,2026-09-06T11:26:07.000Z,"Buying RS on weakness. 
Quote
Elite Swing Traders
@1ChartMaster
·
Oct 8, 2025
It's not what you buy, but when you buy it and when you sell it that counts. Many of you would do better if you worked on your executions. Tight risk spots will help you from being shaken out.",True,False
2096370962098700331,https://x.com/1ChartMaster/status/2096370962098700331,2026-09-05T22:52:40.000Z,"Subscribers
This one has a very similar pattern to 
$MU
 
Triangle / Wedge coiling right into the apex. 
 
RS 98 and printed double inside week.  Nice setup


$ASX
Micron Technology Inc
MU
$978.35
+5.59%",True,True
2096317768425472226,https://x.com/1ChartMaster/status/2096317768425472226,2026-09-05T19:21:18.000Z,"Subscribers
Coiling showing a Double Inside Week digesting the HVE gap up while printing a RS new high  on the weekly. 
The 8-week is approaching for support. 


$MRNA",True,True
2096022291226177818,https://x.com/1ChartMaster/status/2096022291226177818,2026-09-04T23:47:11.000Z,"Subscribers
Highest weekly close ever.  8-week support and Printed RS new high on the weekly  

Looks Ready for blue skies 

$HNGE",True,True
2095863684492849436,https://x.com/1ChartMaster/status/2095863684492849436,2026-09-04T13:16:56.000Z,"Subscribers
$IBB
 Biotech ETF Printing RS new high on the weekly.   Daily holding strong .",True,True
2095861846666273239,https://x.com/1ChartMaster/status/2095861846666273239,2026-09-04T13:09:38.000Z,"Subscribers
List of stocks currently printing RS new high on the weekly",True,False
2095860562806628417,https://x.com/1ChartMaster/status/2095860562806628417,2026-09-04T13:04:32.000Z,"Subscribers
Typed in the wrong ticker and found this little beauty setting up.  
Recent IPO forming a Weekly Base printing RS new high   and testing the pivot. 

$RELY",True,True
2095652543288238555,https://x.com/1ChartMaster/status/2095652543288238555,2026-09-03T23:17:56.000Z,"$RNG
  ""Why you track RS what the big deal?""
Any questions? Seeing blue    
Straight Alpha
RingCentral Inc
RNG
$74.72
+1.60%
Quote
Elite Swing Traders
@1ChartMaster
·
Jul 24
Subscribers
$RNG Massive PEG candle breaking out of long base.  Printing RS new high",True,True
2095651298989273091,https://x.com/1ChartMaster/status/2095651298989273091,2026-09-03T23:12:59.000Z,"$ZETA
 I work day and night to provide setups for the team.  No excuses 
Quote
Elite Swing Traders
@1ChartMaster
·
Sep 3
Subscribers
Has been showing RS and printed an inside day yesterday.  Keep an eye on it see if it gives an entry maybe  off the 8ema. 
$ZETA",True,True
2095649844484329749,https://x.com/1ChartMaster/status/2095649844484329749,2026-09-03T23:07:12.000Z,"Subscribers
RS new highs leads to more RS new highs and higher prices.   Institutions are rotating around the market and can't hide their footprints. We track RS and buy it on weakness. Note the weak inside bar yesterday. 

$ZETA",True,True
2095255986952962390,https://x.com/1ChartMaster/status/2095255986952962390,2026-09-02T21:02:09.000Z,"Subscribers
Almost every entry is coming off an intraday 30 min pivot.  I don't make the rules or the conditions.   All we can do is play the hand we are dealt.  Track strong RS names and wait for the pullback.",True,False
2095201136915497346,https://x.com/1ChartMaster/status/2095201136915497346,2026-09-02T17:24:12.000Z,"$MGNI
 Undercut and rally off the 8-week support into an engulfing candle heading for the top of the range.
Magnite Inc
MGNI
$25.63
+7.78%
Quote
Elite Swing Traders
@1ChartMaster
·
Aug 29
Subscribers
That is a textbook constructive digestion phase following the post-earnings gap.

$MGNI 

The Setup: 
Pulling back on shrinking volume (-39% relative to average) right down into the upper boundary of its post-earnings gap zone.

Relative Strength & Structure:
Holding an elite RS",True,True
2094966130519474198,https://x.com/1ChartMaster/status/2094966130519474198,2026-09-02T01:50:22.000Z,"When you align with RS, you put yourself right where institutional capital is heavy-bidding. Stop fighting gravity and trade the footprints.


$MPC
 
$PSX
 
$VLO
 Blue skies and new ATHs. 
Phillips 66
PSX
$273.86
+3.49%
Valero Energy Corp
VLO
$412.85
+2.37%
Quote
Elite Swing Traders
@1ChartMaster
·
Aug 28
Subscribers
$MPC Printing RS new again.  $PSX $VLO also flagging at highs.",True,True
2094769081232630113,https://x.com/1ChartMaster/status/2094769081232630113,2026-09-01T12:47:22.000Z,"Subscribers
$VLO
 
$MPC
 
$DK
 gapping to new highs.  
Delek US Holdings Inc
DK
$81.80
+3.34%",True,True
2094733666148634924,https://x.com/1ChartMaster/status/2094733666148634924,2026-09-01T10:26:38.000Z,"I like to track RS and then use the 30 min pivot for my entry.
Quote
Elite Swing Traders
@1ChartMaster
·
Mar 18
Buy RS names on weakness. Seems easy enough right?  Are you disciplined enough to do it?",True,False
