symbol
MXL
BLZE
APPS
GPRO
CORT
ETON
BAND
FIVN
HPE
NTSK
AMC
PBF
XMTR
PENG
OSCR
MRVL
ORKA
CHYM
NAVN
APPN
FCEL
BB
PARR
WDAY
SBET
WIX
BMNR
BE
BLSH
MSTR
BTDR
RBLX
FTFT
CAPR
