symbol
AMLX
BLZE
CAPR
CLMT
CORT
CVI
DELL
DK
ETON
GPRO
GTLB
HPE
MRVL
MSTR
MXL
OKTA
OMER
ORKA
PARR
PBF
PENG
QMCO
RBLX
SWKS
TEAM
