symbol
XHLD
USDE
QMCO
MXL
LIFE
APPS
ASST
SDGR
TEAM
BLZE
FIVN
BAND
RNG
PURR
GPRO
OKTA
AMC
DELL
NTSK
CORT
CRWD
GTLB
AMLX
GRAL
ALAB
OMER
AYA
PENG
SNDK
CVI
AMBQ
SBET
CLMT
MRVL
BMNR
SMTC
AEHR
SHAZ
APPN
MSTR
PBF
SWKS
BLSH
BE
WIX
GRML
CRML
RBLX
FTFT
CAPR
