symbol
APPN
APPS
BAND
BB
BE
BLSH
BLZE
CHYM
DELL
FCEL
FIVN
GPRO
GTLB
HPE
LIFE
MRVL
MSTR
MXL
NAVN
NTSK
OKTA
PENG
QMCO
QRVO
RBLX
SDGR
SWKS
TEAM
TEM
USDE
WDAY
WIX
