symbol
XHLD
QMCO
MXL
ASST
TEAM
LIFE
BLZE
OKTA
PURR
BAND
GPRO
SDGR
CRWD
DELL
FIVN
RNG
AMC
NTSK
ALAB
CORT
GRAL
TWLO
PANW
SNDK
INTC
OMER
PENG
AMLX
SBET
AMBQ
AEHR
CVI
SMTC
MRVL
OSCR
BMNR
APPN
NUAI
COHU
MSTR
BE
USDE
SWKS
HUT
FSLY
BLSH
PBF
VICR
RIOT
INOD
ACMR
VKTX
WIX
CRDO
BTBT
FORM
AXTI
GRML
FTFT
YSS
