symbol
APPN
APPS
BAND
BB
BLSH
BTDR
COIN
CRCL
GTLB
HTFL
LIFE
MARA
MSTR
NAVN
NTSK
OKTA
OSCR
RBLX
TEAM
USDE
WIX
