symbol
XHLD
QMCO
MXL
ASST
TEAM
LIFE
APPS
BLZE
PURR
OKTA
SDGR
BAND
GPRO
CRWD
DELL
FIVN
RNG
AMC
DAIC
NTSK
ALAB
CORT
GRAL
PANW
INTC
SNDK
OMER
PENG
AMBQ
SBET
AMLX
AEHR
CVI
SMTC
MRVL
BMNR
APPN
COHU
BE
MSTR
USDE
NUAI
SWKS
HUT
BLSH
PBF
VICR
FSLY
RIOT
INOD
WIX
CRDO
VKTX
FORM
BENF
GRML
FTFT
BIAF
LHSW
WHLR
