symbol
APPN
APPS
ASST
BAND
BB
BLSH
BMNR
CRWD
DELL
FIVN
INTC
LIFE
MRVL
MSTR
NTSK
OKTA
PANW
PURR
RNG
SAIL
SDGR
SWKS
TEAM
TWLO
USDE
WIX
