scope,window,industry,members,median_pct,mean_pct
all,1m,Oil Refining/Marketing,12,10.72,11.48
all,1m,Department Stores,4,6.71,6.72
all,1m,Specialty Telecommunications,8,5.07,8.64
all,1m,Semiconductors,88,5.05,5.29
all,1m,Electronic Production Equipment,29,4.27,-0.37
all,1m,Textiles,5,3.88,2.94
all,1m,Computer Peripherals,21,2.13,0.91
all,1m,Electronic Components,24,2.01,-0.08
all,1m,Metal Fabrication,17,1.49,3.94
all,1m,Chemicals: Major Diversified,12,1.38,1.01
all,1m,Financial Conglomerates,364,0.15,1.9
all,1m,Medical Distributors,8,-0.45,15.69
all,1m,Computer Processing Hardware,18,-0.5,-5.67
all,1m,Marine Shipping,68,-0.68,-2.24
all,1m,Life/Health Insurance,27,-0.8,-0.72
all,1m,Data Processing Services,54,-1.39,-0.1
all,1m,Information Technology Services,88,-1.45,-1.45
all,1m,Savings Banks,39,-1.55,-1.71
all,1m,Regional Banks,256,-1.58,-1.92
all,1m,Office Equipment/Supplies,4,-1.6,-2.21
all,1m,Electronics/Appliance Stores,4,-1.77,3.16
all,1m,Trucks/Construction/Farm Machinery,31,-2.03,2.52
all,1m,Steel,15,-2.19,-3.85
all,1m,Integrated Oil,42,-2.28,-3.04
all,1m,Airlines,19,-2.31,-3.74
all,1m,Tobacco,3,-2.32,-9.91
all,1m,Electronics Distributors,10,-2.38,-4.64
all,1m,Telecommunications Equipment,32,-2.41,-1.77
all,1m,Oil & Gas Production,39,-2.68,-1.88
all,1m,Electronic Equipment/Instruments,42,-2.83,1.72
all,1m,Oil & Gas Pipelines,32,-2.85,-2.32
all,1m,Electronics/Appliances,20,-2.9,2.3
all,1m,Oilfield Services/Equipment,33,-3.03,-2.44
all,1m,Medical/Nursing Services,56,-3.04,-5.04
all,1m,Investment Trusts/Mutual Funds,103,-3.16,-2.75
all,1m,Major Banks,134,-3.26,-3.33
all,1m,Services to the Health Industry,3,-3.37,-5.46
all,1m,Wholesale Distributors,72,-3.55,-3.55
all,1m,Finance/Rental/Leasing,126,-3.63,-4.83
all,1m,Managed Health Care,8,-3.75,-7.3
all,1m,Hospital/Nursing Management,12,-3.9,-4.38
all,1m,Wireless Telecommunications,16,-4.0,-5.22
all,1m,Property/Casualty Insurance,48,-4.06,-3.33
all,1m,Medical Specialties,206,-4.13,-2.84
all,1m,Major Telecommunications,15,-4.24,-6.0
all,1m,Industrial Machinery,98,-4.52,-5.13
all,1m,Multi-Line Insurance,52,-4.74,-6.6
all,1m,Specialty Stores,67,-4.76,-7.67
all,1m,Home Furnishings,18,-4.78,-6.43
all,1m,Electrical Products,73,-4.87,-6.46
all,1m,Packaged Software,357,-4.9,-3.83
all,1m,Contract Drilling,11,-5.28,-3.34
all,1m,Air Freight/Couriers,28,-5.65,-1.55
all,1m,Investment Banks/Brokers,55,-5.67,-6.96
all,1m,Engineering & Construction,65,-5.72,-3.84
all,1m,Miscellaneous Commercial Services,153,-5.79,-4.18
all,1m,Gas Distributors,21,-5.84,-7.81
all,1m,Food Retail,15,-5.89,-9.96
all,1m,Investment Managers,85,-5.9,-6.99
all,1m,Apparel/Footwear Retail,30,-5.96,-6.22
all,1m,Household/Personal Care,23,-6.06,-10.72
all,1m,Industrial Conglomerates,3,-6.07,-4.64
all,1m,Industrial Specialties,18,-6.09,-4.21
all,1m,Apparel/Footwear,34,-6.11,-4.27
all,1m,Real Estate Investment Trusts,340,-6.22,-7.2
all,1m,Chemicals: Specialty,56,-6.28,-7.76
all,1m,Aerospace & Defense,78,-6.48,-5.81
all,1m,Building Products,24,-6.55,-10.19
all,1m,Homebuilding,24,-6.74,-6.92
all,1m,Tools & Hardware,5,-6.77,-5.91
all,1m,Electric Utilities,73,-6.81,-6.93
all,1m,Internet Software/Services,84,-7.1,-7.49
all,1m,Pulp & Paper,5,-7.38,-10.84
all,1m,Movies/Entertainment,43,-7.39,-8.15
all,1m,Pharmaceuticals: Other,25,-7.45,-5.4
all,1m,Agricultural Commodities/Milling,31,-7.62,-8.27
all,1m,Water Utilities,11,-7.81,-7.31
all,1m,Alternative Power Generation,12,-7.89,-9.59
all,1m,Hotels/Resorts/Cruise lines,19,-7.9,-6.64
all,1m,Forest Products,5,-7.92,-8.91
all,1m,Commercial Printing/Forms,11,-8.0,-13.57
all,1m,Food: Specialty/Candy,39,-8.01,-7.9
all,1m,Personnel Services,23,-8.01,-10.28
all,1m,Automotive Aftermarket,5,-8.09,-8.63
all,1m,Publishing: Newspapers,7,-8.13,-11.86
all,1m,Financial Publishing/Services,8,-8.23,-11.68
all,1m,Computer Communications,11,-8.27,-0.25
all,1m,Railroads,6,-8.32,-6.9
all,1m,Precious Metals,70,-8.45,-8.89
all,1m,Specialty Insurance,12,-8.52,-7.33
all,1m,Environmental Services,16,-8.9,-8.74
all,1m,Recreational Products,24,-8.96,-4.75
all,1m,Motor Vehicles,31,-9.1,-17.17
all,1m,Real Estate Development,52,-9.21,-10.65
all,1m,Auto Parts: OEM,33,-9.28,-9.94
all,1m,Chemicals: Agricultural,17,-9.35,-12.5
all,1m,Broadcasting,15,-9.79,-10.15
all,1m,Trucking,21,-9.81,-11.75
all,1m,Other Transportation,13,-9.87,-10.15
all,1m,Miscellaneous Manufacturing,12,-10.13,-9.02
all,1m,Pharmaceuticals: Major,310,-10.46,-10.04
all,1m,Other Consumer Services,35,-10.54,-11.59
all,1m,Aluminum,5,-10.65,-9.61
all,1m,Construction Materials,16,-10.78,-11.65
all,1m,Containers/Packaging,20,-11.05,-9.95
all,1m,Publishing: Books/Magazines,5,-11.18,-8.34
all,1m,Internet Retail,28,-11.32,-7.45
all,1m,Consumer Sundries,4,-11.35,-11.79
all,1m,Food: Major Diversified,8,-11.45,-17.48
all,1m,Beverages: Non-Alcoholic,14,-11.66,-14.65
all,1m,Coal,10,-11.86,-15.02
all,1m,Restaurants,49,-11.98,-13.44
all,1m,Cable/Satellite TV,8,-12.08,-14.97
all,1m,Advertising/Marketing Services,34,-12.8,-11.32
all,1m,Food Distributors,11,-13.11,-17.15
all,1m,Home Improvement Chains,5,-13.62,-13.56
all,1m,Discount Stores,3,-13.81,-8.77
all,1m,Beverages: Alcoholic,10,-13.89,-16.3
all,1m,Casinos/Gaming,14,-14.1,-10.07
all,1m,Insurance Brokers/Services,18,-14.38,-16.0
all,1m,Miscellaneous,4,-14.92,-11.52
all,1m,Other Metals/Minerals,68,-15.77,-17.71
all,1m,Biotechnology,282,-15.83,-15.15
all,1m,Food: Meat/Fish/Dairy,8,-17.14,-20.38
