name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
APPN,Appian Corporation,NASDAQ,Packaged Software,38.62,36.56,38.46,37.73,33.34,27.97,26.69,28.16,37.65,37.17,38.76,37.73,4.83,5.2,2.01,1014815.9,853237.7333333333,32952041.0,32193797.0,0.5,0.61,2766284814.2473345,3.54,141,91.09,14,55.6,112,50.08,3.05,0.42,0.75,0.51,44.3,0.261,30.48,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-10-29,False,False,5,thin RVOL,"EMA, near21, ADR",10,https://www.tradingview.com/chart/?symbol=NASDAQ:APPN&interval=D,False,True,False
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1766.64,1660.38,1599.95,1573.32,1501.22,1594.73,1307.21,1076.04,1655.79,1612.2,1834.49,1737.01,5.09,6.52,115.21,9925846.1,12167311.4,21495259012.0,19143088567.0,0.97,1.91,258669665620.6748,10.08,82,-12.01,279,171.37,16,56.48,2.71,10.42,1.47,0.85,25.7,0.265,33.08,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-05,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,272.89,268.64,244.02,235.24,225.99,254.27,225.34,199.68,263.26,250.28,282.0,265.36,5.83,6.89,18.79,20562612.3,14849139.366666667,4052181642.0,3493131343.0,0.67,1.65,80373568312.9188,32.33,15,-11.79,278,84.86,67,35.13,3.01,11.83,1.31,0.89,40.1,0.444,25.27,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-10-29,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NYSE:BE&interval=D,True,False,False
