scope,window,industry,members,median_pct,mean_pct
all,1m,Electronics Distributors,7,8.97,5.34
all,1m,Oil Refining/Marketing,12,7.16,8.92
all,1m,Specialty Telecommunications,6,5.25,3.06
all,1m,Computer Peripherals,19,4.37,3.11
all,1m,Semiconductors,82,3.71,5.24
all,1m,Electronic Components,21,2.13,0.53
all,1m,Textiles,5,2.13,-1.91
all,1m,Electronics/Appliance Stores,4,1.88,7.77
all,1m,Data Processing Services,51,1.82,4.85
all,1m,Electronic Production Equipment,27,1.53,-0.46
all,1m,Chemicals: Major Diversified,12,1.36,-0.12
all,1m,Marine Shipping,60,0.67,2.33
all,1m,Tobacco,3,0.32,-8.03
all,1m,Electronics/Appliances,15,0.26,6.13
all,1m,Financial Conglomerates,345,0.2,1.7
all,1m,Air Freight/Couriers,19,-0.16,8.32
all,1m,Life/Health Insurance,22,-0.17,0.48
all,1m,Department Stores,4,-0.33,1.0
all,1m,Information Technology Services,74,-0.89,1.64
all,1m,Miscellaneous,3,-1.29,4.35
all,1m,Computer Processing Hardware,16,-1.63,-3.54
all,1m,Major Telecommunications,15,-1.63,-2.26
all,1m,Oil & Gas Pipelines,27,-1.65,-1.07
all,1m,Savings Banks,39,-1.77,-2.15
all,1m,Metal Fabrication,15,-2.02,3.0
all,1m,Office Equipment/Supplies,4,-2.03,-1.47
all,1m,Trucks/Construction/Farm Machinery,29,-2.07,0.88
all,1m,Electronic Equipment/Instruments,34,-2.15,10.26
all,1m,Medical/Nursing Services,48,-2.43,-1.84
all,1m,Wireless Telecommunications,16,-2.52,-3.97
all,1m,Property/Casualty Insurance,48,-2.55,-2.24
all,1m,Packaged Software,286,-2.67,-1.37
all,1m,Wholesale Distributors,52,-2.73,-3.39
all,1m,Regional Banks,255,-2.97,-2.95
all,1m,Major Banks,132,-3.0,-3.41
all,1m,Medical Specialties,173,-3.41,-2.49
all,1m,Medical Distributors,5,-3.44,-2.08
all,1m,Hospital/Nursing Management,12,-3.47,-4.69
all,1m,Multi-Line Insurance,48,-3.49,-6.09
all,1m,Steel,14,-3.49,-3.21
all,1m,Telecommunications Equipment,30,-3.52,-2.91
all,1m,Household/Personal Care,19,-3.62,-7.04
all,1m,Airlines,17,-3.77,-4.74
all,1m,Investment Banks/Brokers,55,-4.0,-4.15
all,1m,Agricultural Commodities/Milling,26,-4.11,-7.08
all,1m,Investment Trusts/Mutual Funds,60,-4.21,-4.18
all,1m,Finance/Rental/Leasing,100,-4.35,-5.25
all,1m,Industrial Machinery,91,-4.35,-4.17
all,1m,Electrical Products,62,-4.47,-1.56
all,1m,Services to the Health Industry,3,-4.5,-6.49
all,1m,Oil & Gas Production,39,-4.6,-4.25
all,1m,Managed Health Care,8,-4.62,-8.29
all,1m,Water Utilities,11,-4.65,-5.54
all,1m,Alternative Power Generation,11,-4.73,-9.14
all,1m,Industrial Conglomerates,3,-4.8,-4.93
all,1m,Gas Distributors,21,-4.91,-7.55
all,1m,Food Retail,13,-5.02,-7.95
all,1m,Personnel Services,19,-5.1,-5.24
all,1m,Internet Software/Services,71,-5.12,-4.08
all,1m,Real Estate Investment Trusts,316,-5.13,-5.78
all,1m,Integrated Oil,40,-5.28,-5.2
all,1m,Investment Managers,77,-5.38,-6.3
all,1m,Contract Drilling,10,-5.54,-5.25
all,1m,Chemicals: Specialty,50,-5.7,-4.97
all,1m,Tools & Hardware,4,-5.94,-4.8
all,1m,Oilfield Services/Equipment,32,-5.95,-4.53
all,1m,Miscellaneous Commercial Services,124,-6.2,-4.32
all,1m,Electric Utilities,71,-6.24,-6.31
all,1m,Pulp & Paper,5,-6.44,-10.67
all,1m,Apparel/Footwear Retail,30,-6.52,-5.81
all,1m,Pharmaceuticals: Other,15,-6.54,-6.21
all,1m,Movies/Entertainment,38,-6.66,-6.2
all,1m,Industrial Specialties,17,-6.89,-4.67
all,1m,Financial Publishing/Services,8,-7.13,-11.02
all,1m,Engineering & Construction,51,-7.23,-6.51
all,1m,Publishing: Newspapers,6,-7.26,-5.55
all,1m,Specialty Stores,61,-7.26,-7.22
all,1m,Beverages: Non-Alcoholic,12,-7.49,-8.69
all,1m,Chemicals: Agricultural,12,-7.5,-7.3
all,1m,Home Furnishings,16,-7.56,-3.77
all,1m,Specialty Insurance,11,-7.63,-6.84
all,1m,Forest Products,5,-7.68,-7.81
all,1m,Aerospace & Defense,74,-7.81,-8.48
all,1m,Pharmaceuticals: Major,245,-7.81,-5.2
all,1m,Homebuilding,24,-7.9,-8.33
all,1m,Food: Specialty/Candy,35,-8.02,-7.59
all,1m,Motor Vehicles,24,-8.05,-11.48
all,1m,Environmental Services,14,-8.15,-6.92
all,1m,Broadcasting,15,-8.24,-10.01
all,1m,Publishing: Books/Magazines,4,-8.24,-6.97
all,1m,Miscellaneous Manufacturing,10,-8.27,-9.03
all,1m,Containers/Packaging,17,-8.62,-9.36
all,1m,Precious Metals,68,-8.65,-7.59
all,1m,Railroads,6,-8.71,-6.93
all,1m,Internet Retail,23,-8.8,-9.58
all,1m,Food Distributors,8,-8.91,-9.43
all,1m,Real Estate Development,39,-9.04,-10.97
all,1m,Automotive Aftermarket,5,-9.05,-8.98
