scope,window,industry,members,median_pct,mean_pct
all,1m,Miscellaneous,4,9.96,55.32
all,1m,Oil Refining/Marketing,12,7.16,8.92
all,1m,Specialty Telecommunications,8,4.0,-0.42
all,1m,Semiconductors,88,3.54,3.55
all,1m,Computer Peripherals,21,2.82,1.01
all,1m,Textiles,5,2.13,-1.91
all,1m,Electronics/Appliance Stores,4,1.88,7.77
all,1m,Electronic Production Equipment,29,1.69,0.27
all,1m,Electronic Components,24,1.59,-4.36
all,1m,Chemicals: Major Diversified,12,1.36,-0.12
all,1m,Tobacco,3,0.32,-8.04
all,1m,Financial Conglomerates,364,0.2,0.92
all,1m,Commercial Printing/Forms,11,0.18,-6.12
all,1m,Data Processing Services,53,0.18,4.08
all,1m,Marine Shipping,68,0.03,-1.76
all,1m,Electronics Distributors,10,-0.08,-9.04
all,1m,Electronics/Appliances,20,-0.17,3.5
all,1m,Department Stores,4,-0.33,1.0
all,1m,Life/Health Insurance,27,-0.9,-0.28
all,1m,Oil & Gas Pipelines,32,-1.18,-0.95
all,1m,Major Telecommunications,15,-1.63,-2.26
all,1m,Savings Banks,39,-1.77,-2.15
all,1m,Metal Fabrication,17,-2.02,2.27
all,1m,Office Equipment/Supplies,4,-2.03,-1.47
all,1m,Trucks/Construction/Farm Machinery,31,-2.1,1.05
all,1m,Food Retail,15,-2.33,-3.88
all,1m,Wireless Telecommunications,16,-2.52,-3.98
all,1m,Property/Casualty Insurance,48,-2.55,-2.24
all,1m,Medical Distributors,8,-2.58,22.01
all,1m,Information Technology Services,88,-2.83,-1.17
all,1m,Investment Trusts/Mutual Funds,103,-2.88,-3.28
all,1m,Major Banks,134,-2.97,-3.29
all,1m,Regional Banks,256,-2.97,-2.94
all,1m,Wholesale Distributors,72,-3.08,-3.82
all,1m,Airlines,19,-3.32,-3.26
all,1m,Finance/Rental/Leasing,127,-3.36,-4.75
all,1m,Hospital/Nursing Management,12,-3.47,-4.69
all,1m,Multi-Line Insurance,52,-3.49,-5.82
all,1m,Telecommunications Equipment,32,-3.52,-2.4
all,1m,Medical/Nursing Services,56,-3.61,-5.56
all,1m,Electronic Equipment/Instruments,42,-3.63,5.68
all,1m,Investment Banks/Brokers,55,-4.0,-4.15
all,1m,Steel,15,-4.08,-4.38
all,1m,Packaged Software,357,-4.24,-4.02
all,1m,Services to the Health Industry,3,-4.5,-6.49
all,1m,Industrial Machinery,98,-4.55,-5.85
all,1m,Oil & Gas Production,39,-4.6,-4.25
all,1m,Managed Health Care,8,-4.62,-8.28
all,1m,Water Utilities,11,-4.65,-5.54
all,1m,Alternative Power Generation,12,-4.71,-8.43
all,1m,Industrial Conglomerates,3,-4.8,-4.93
all,1m,Medical Specialties,207,-4.8,-3.7
all,1m,Gas Distributors,21,-4.91,-7.55
all,1m,Contract Drilling,11,-5.06,-4.19
all,1m,Investment Managers,85,-5.07,-5.33
all,1m,Computer Processing Hardware,18,-5.17,-7.7
all,1m,Real Estate Investment Trusts,340,-5.24,-6.07
all,1m,Integrated Oil,42,-5.28,-5.06
all,1m,Tools & Hardware,5,-5.47,-4.16
all,1m,Air Freight/Couriers,28,-5.62,-4.74
all,1m,Chemicals: Specialty,56,-5.81,-7.26
all,1m,Oilfield Services/Equipment,33,-6.02,-5.09
all,1m,Electrical Products,73,-6.05,-4.92
all,1m,Household/Personal Care,23,-6.17,-9.92
all,1m,Electric Utilities,73,-6.23,-6.28
all,1m,Specialty Insurance,12,-6.39,-5.17
all,1m,Pulp & Paper,5,-6.44,-10.67
all,1m,Miscellaneous Commercial Services,153,-6.52,-4.45
all,1m,Apparel/Footwear Retail,30,-6.54,-5.81
all,1m,Pharmaceuticals: Other,25,-6.54,-4.26
all,1m,Personnel Services,23,-7.04,-9.7
all,1m,Agricultural Commodities/Milling,31,-7.1,-6.59
all,1m,Financial Publishing/Services,8,-7.13,-11.02
all,1m,Movies/Entertainment,43,-7.34,-7.35
all,1m,Industrial Specialties,18,-7.54,-5.06
all,1m,Forest Products,5,-7.68,-7.81
all,1m,Aerospace & Defense,78,-7.69,-8.6
all,1m,Engineering & Construction,65,-7.76,-9.56
all,1m,Chemicals: Agricultural,17,-7.83,-8.79
all,1m,Pharmaceuticals: Major,311,-7.83,-6.8
all,1m,Homebuilding,24,-7.9,-8.34
all,1m,Miscellaneous Manufacturing,12,-7.96,-8.15
all,1m,Internet Software/Services,84,-7.99,-6.38
all,1m,Publishing: Books/Magazines,5,-8.01,-6.17
all,1m,Environmental Services,16,-8.15,-7.37
all,1m,Specialty Stores,67,-8.2,-8.76
all,1m,Broadcasting,15,-8.24,-10.01
all,1m,Real Estate Development,52,-8.27,-10.84
all,1m,Food: Specialty/Candy,39,-8.43,-7.74
all,1m,Hotels/Resorts/Cruise lines,19,-8.52,-7.17
all,1m,Internet Retail,28,-8.61,-8.51
all,1m,Motor Vehicles,31,-8.61,-16.39
all,1m,Precious Metals,70,-8.65,-7.56
all,1m,Beverages: Non-Alcoholic,14,-8.71,-11.39
all,1m,Railroads,6,-8.71,-6.93
all,1m,Publishing: Newspapers,7,-8.73,-10.42
all,1m,Automotive Aftermarket,5,-9.05,-8.98
all,1m,Home Furnishings,18,-9.07,-7.92
all,1m,Apparel/Footwear,34,-9.1,-5.7
all,1m,Discount Stores,3,-9.12,-8.51
all,1m,Cable/Satellite TV,8,-9.27,-10.11
all,1m,Containers/Packaging,20,-9.3,-10.03
all,1m,Recreational Products,24,-9.48,-7.21
all,1m,Food Distributors,11,-9.55,-14.11
all,1m,Other Consumer Services,35,-9.79,-10.42
all,1m,Building Products,24,-9.8,-12.15
all,1m,Beverages: Alcoholic,10,-10.04,-12.66
all,1m,Computer Communications,11,-10.18,-4.65
all,1m,Auto Parts: OEM,33,-10.62,-10.27
all,1m,Trucking,21,-11.28,-11.82
all,1m,Consumer Sundries,4,-11.31,-10.22
all,1m,Food: Major Diversified,8,-11.46,-15.45
all,1m,Advertising/Marketing Services,34,-11.6,-11.66
all,1m,Construction Materials,15,-11.62,-12.97
all,1m,Biotechnology,283,-11.76,-11.42
all,1m,Home Improvement Chains,5,-11.95,-10.34
all,1m,Aluminum,5,-12.05,-9.34
all,1m,Other Transportation,13,-12.13,-5.28
all,1m,Coal,10,-12.73,-13.05
all,1m,Other Metals/Minerals,68,-12.76,-14.72
all,1m,Restaurants,49,-13.66,-13.81
all,1m,Insurance Brokers/Services,18,-14.33,-15.87
all,1m,Casinos/Gaming,14,-14.69,-11.06
all,1m,Food: Meat/Fish/Dairy,8,-16.12,-19.9
all,1w,Semiconductors,88,7.01,6.76
all,1w,Data Processing Services,53,6.98,5.78
all,1w,Electronic Components,24,5.38,7.22
all,1w,Computer Processing Hardware,18,5.01,5.89
all,1w,Electronics/Appliance Stores,4,3.95,3.94
all,1w,Computer Peripherals,21,3.79,6.25
all,1w,Electronic Production Equipment,29,3.73,4.74
all,1w,Electronics Distributors,10,3.14,3.65
all,1w,Industrial Conglomerates,3,2.86,-0.15
all,1w,Airlines,19,2.62,7.72
all,1w,Electrical Products,73,2.53,2.7
all,1w,Department Stores,4,2.17,3.82
all,1w,Industrial Machinery,98,1.84,2.28
all,1w,Electronic Equipment/Instruments,42,1.78,4.48
all,1w,Computer Communications,11,1.75,5.72
all,1w,Specialty Telecommunications,8,1.57,0.68
all,1w,Office Equipment/Supplies,4,1.27,1.03
all,1w,Textiles,5,1.2,1.32
all,1w,Aerospace & Defense,78,1.18,1.57
all,1w,Tools & Hardware,5,0.91,2.47
all,1w,Telecommunications Equipment,32,0.9,1.86
all,1w,Containers/Packaging,20,0.76,1.16
all,1w,Industrial Specialties,18,0.53,-0.43
all,1w,Pulp & Paper,5,0.52,-1.48
all,1w,Medical Specialties,207,0.46,3.04
all,1w,Miscellaneous,4,0.35,10.39
all,1w,Pharmaceuticals: Other,25,0.35,1.6
all,1w,Forest Products,5,0.3,-1.37
all,1w,Apparel/Footwear,34,0.23,1.6
all,1w,Consumer Sundries,4,0.22,0.32
all,1w,Other Metals/Minerals,68,0.11,-0.64
all,1w,Apparel/Footwear Retail,30,0.1,0.69
all,1w,Electronics/Appliances,20,0.09,1.37
all,1w,Trucks/Construction/Farm Machinery,31,0.09,1.85
all,1w,Chemicals: Major Diversified,12,0.08,-0.47
all,1w,Financial Conglomerates,363,0.0,1.78
all,1w,Alternative Power Generation,12,-0.1,0.54
all,1w,Chemicals: Specialty,56,-0.1,0.97
all,1w,Wholesale Distributors,72,-0.15,-0.52
all,1w,Home Furnishings,18,-0.16,6.03
all,1w,Building Products,24,-0.2,3.23
all,1w,Household/Personal Care,23,-0.27,-1.55
all,1w,Recreational Products,24,-0.41,1.85
all,1w,Packaged Software,357,-0.44,1.51
all,1w,Homebuilding,24,-0.46,-1.29
all,1w,Investment Managers,85,-0.46,2.78
all,1w,Hospital/Nursing Management,12,-0.55,-0.79
all,1w,Financial Publishing/Services,8,-0.63,-2.6
all,1w,Personnel Services,23,-0.69,-1.04
all,1w,Engineering & Construction,65,-0.74,0.51
all,1w,Pharmaceuticals: Major,311,-0.86,-0.01
all,1w,Commercial Printing/Forms,11,-0.88,1.84
all,1w,Information Technology Services,88,-0.92,2.68
all,1w,Advertising/Marketing Services,34,-0.93,0.09
all,1w,Tobacco,3,-0.93,-5.08
all,1w,Metal Fabrication,17,-0.95,0.24
all,1w,Investment Trusts/Mutual Funds,103,-1.0,-1.43
all,1w,Oil & Gas Pipelines,32,-1.08,-1.6
all,1w,Publishing: Books/Magazines,5,-1.09,-0.28
all,1w,Life/Health Insurance,27,-1.1,-0.8
all,1w,Precious Metals,70,-1.16,0.07
all,1w,Miscellaneous Manufacturing,12,-1.18,0.08
all,1w,Real Estate Investment Trusts,340,-1.2,-1.46
all,1w,Movies/Entertainment,43,-1.21,-1.24
all,1w,Automotive Aftermarket,5,-1.24,-1.55
all,1w,Railroads,6,-1.29,-0.8
all,1w,Real Estate Development,52,-1.29,-3.21
all,1w,Internet Retail,28,-1.4,-2.22
all,1w,Motor Vehicles,31,-1.5,-5.14
all,1w,Hotels/Resorts/Cruise lines,19,-1.51,0.34
all,1w,Finance/Rental/Leasing,126,-1.59,-2.39
all,1w,Food: Specialty/Candy,39,-1.59,-2.15
all,1w,Restaurants,49,-1.75,-0.4
all,1w,Specialty Stores,67,-1.75,-1.52
all,1w,Auto Parts: OEM,33,-1.8,-4.07
all,1w,Food Distributors,11,-1.82,-2.01
all,1w,Medical/Nursing Services,56,-1.96,-3.2
all,1w,Agricultural Commodities/Milling,31,-1.98,1.03
all,1w,Major Banks,134,-1.99,-2.26
all,1w,Multi-Line Insurance,52,-1.99,-3.23
all,1w,Miscellaneous Commercial Services,153,-2.17,0.91
all,1w,Other Consumer Services,35,-2.21,-3.61
all,1w,Food: Major Diversified,8,-2.22,-3.35
all,1w,Internet Software/Services,84,-2.24,-0.57
all,1w,Medical Distributors,8,-2.25,4.16
all,1w,Beverages: Alcoholic,10,-2.27,-1.73
all,1w,Steel,15,-2.28,-0.35
all,1w,Biotechnology,283,-2.43,-2.1
all,1w,Home Improvement Chains,5,-2.49,0.28
all,1w,Savings Banks,39,-2.57,-2.33
all,1w,Investment Banks/Brokers,55,-2.61,-0.75
all,1w,Electric Utilities,73,-2.75,-0.67
all,1w,Property/Casualty Insurance,48,-2.75,-2.94
all,1w,Beverages: Non-Alcoholic,14,-2.78,-5.44
all,1w,Construction Materials,15,-2.9,-1.43
all,1w,Discount Stores,3,-3.04,-2.78
all,1w,Gas Distributors,21,-3.11,-4.79
all,1w,Regional Banks,256,-3.17,-2.81
all,1w,Wireless Telecommunications,16,-3.43,-3.64
all,1w,Aluminum,5,-3.55,-2.09
all,1w,Environmental Services,16,-3.55,-3.44
all,1w,Specialty Insurance,12,-3.64,-4.71
all,1w,Oil Refining/Marketing,12,-3.65,-2.47
all,1w,Water Utilities,11,-3.96,-3.61
all,1w,Chemicals: Agricultural,17,-4.09,-3.54
all,1w,Air Freight/Couriers,28,-4.18,5.08
all,1w,Major Telecommunications,15,-4.2,-4.31
