name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.72,2.55,2.58,2.55,2.47,2.14,1.84,1.81,2.58,2.56,2.79,2.7,5.46,5.96,0.16,23968188.000000037,19389584.36666667,52741608.0,49469358.0,0.49,1.88,2427973890.058308,13.34,51,2.65,182,164.09,17,60.02,1.71,5.51,1.06,0.55,12.4,0.141,28.38,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
PARR,"Par Pacific Holdings, Inc. Common Stock",NYSE,Oil Refining/Marketing,85.1,83.21,80.17,78.86,78.12,68.39,63.82,57.57,83.03,81.1,85.88,83.05,5.04,5.16,4.39,775934.9000000015,895050.966666667,76173313.0,70582973.0,0.28,-1.93,4263728956.017196,3.25,122,69.9,21,45.7,119,39.62,1.73,6.15,0.96,0.64,46.8,0.185,30.12,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-09,False,False,5,thin RVOL,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NYSE:PARR&interval=D,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.26,15.59,14.98,15.04,14.14,12.38,11.57,12.93,16.04,15.31,17.63,16.82,6.27,6.11,1.06,7459911.7,5587334.666666667,96465333.0,84053069.0,0.3,-0.98,7054267421.369289,15.1,42,96.42,9,84.85,61,65.46,3.62,15.26,2.09,0.77,42.2,0.329,23.29,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,2026-12-11,False,False,5,thin RVOL,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,False,True,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,241.52,226.76,227.85,225.2,215.94,222.03,181.94,157.65,228.25,225.64,247.89,240.0,4.21,6.2,14.97,17811632.1,22132604.1,5345355879.0,4984295642.0,0.66,4.51,211784515586.7896,9.52,71,-20.94,303,171.67,14,53.42,1.91,6.0,1.14,0.53,10.1,0.223,29.07,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-26,False,True,5,large gap,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,75.51,68.1,65.39,68.34,71.74,80.05,60.14,49.67,68.8,68.17,76.84,72.39,5.5,7.85,5.93,2356165.5,2235663.566666667,168814956.0,152777796.0,0.51,5.02,6848242527.155374,-4.53,190,-12.53,253,340.55,3,107.83,0.67,15.47,1.37,0.75,52.6,0.292,40.23,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-10-28,False,True,4,"thin RVOL, large gap","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
