date,frame,basket,leaders
2026-09-25,1w,Semiconductors,3
2026-09-25,1w,Artificial Intelligence,2
2026-09-25,1w,Cloud Computing,2
2026-09-25,1w,Software,2
2026-09-25,1w,Telecommunications,2
2026-09-25,1w,Big Data,1
2026-09-25,1w,Digital Entertainment,1
2026-09-25,1w,Fintech,1
2026-09-25,1w,Hardware,1
2026-09-25,1w,Healthcare & Biotech,1
2026-09-25,1w,Internet of Things,1
2026-09-25,1w,Nanotechnology,1
2026-09-25,1w,Quantum Computing,1
2026-09-25,1m,Cloud Computing,4
2026-09-25,1m,Internet of Things,4
2026-09-25,1m,Software,4
2026-09-25,1m,Artificial Intelligence,3
2026-09-25,1m,Telecommunications,3
2026-09-25,1m,Cybersecurity,2
2026-09-25,1m,Semiconductors,2
2026-09-25,1m,Big Data,1
2026-09-25,1m,Biometrics,1
2026-09-25,1m,Digital Entertainment,1
2026-09-25,1m,Fintech,1
2026-09-25,1m,Hardware,1
2026-09-25,1m,Nanotechnology,1
2026-09-25,1m,Quantum Computing,1
2026-09-25,3m,Software,3
2026-09-25,3m,Big Data,1
2026-09-25,3m,Cloud Computing,1
2026-09-25,3m,Cybersecurity,1
2026-09-25,3m,E-Commerce,1
2026-09-25,3m,Fintech,1
2026-09-25,3m,Healthcare & Biotech,1
2026-09-25,3m,Telecommunications,1
2026-09-25,6m,Artificial Intelligence,7
2026-09-25,6m,Cloud Computing,7
2026-09-25,6m,Internet of Things,6
2026-09-25,6m,Hardware,4
2026-09-25,6m,Software,4
2026-09-25,6m,Cybersecurity,3
2026-09-25,6m,Semiconductors,3
2026-09-25,6m,Big Data,2
2026-09-25,6m,Telecommunications,2
2026-09-25,6m,Biometrics,1
2026-09-25,6m,Digital Entertainment,1
2026-09-25,6m,Healthcare & Biotech,1
2026-09-25,6m,Industrial Automation,1
2026-09-25,6m,Nanotechnology,1
2026-09-25,6m,Quantum Computing,1
