name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
GTLB,GitLab Inc.,NASDAQ,Packaged Software,48.82,45.51,40.94,4.55,4.52,3752652.8,5245537.3,256087131.0,238724403.0,15.55,61,80.21,18,140.37,34,78.71,4.26,2026-12-07,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GTLB&interval=D,False,True,False
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,33.0,32.68,27.48,4.57,5.43,1592762.9,2982188.6666666665,98412226.0,97459914.0,-17.08,391,102.33,10,143.18,31,76.15,3.7,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AMLX&interval=D,False,True,False
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,108.52,78.96,75.41,4.88,5.99,1744656.6,989080.2,107334983.0,78099091.0,37.58,12,75.49,21,114.04,48,75.7,7.33,2026-11-18,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GRAL&interval=D,True,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,363.46,296.55,303.96,5.53,6.61,4463370.2,3827530.6666666665,1391154296.0,1135052943.0,23.71,33,-9.52,273,210.2,8,74.79,2.96,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,21.05,18.17,15.4,4.2,4.84,1896563.7,2250953.533333333,47382572.0,40895324.0,12.93,80,99.15,12,103.78,57,71.95,7.57,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,False,True,False
AYA,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,30.38,27.8,25.15,4.54,5.55,1576925.3,1260631.3666666667,38297981.0,35047233.0,9.71,99,76.83,20,123.05,44,69.87,3.74,2026-11-17,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,False,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.58,52.68,54.49,4.09,5.91,1384814.5,1469202.3,83127466.0,77390231.0,9.21,103,-15.55,310,208.84,9,67.5,0.65,2026-10-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1887.04,1594.96,1505.48,4.98,6.25,10114086.8,12241019.133333333,23099292745.0,19523917515.0,17.59,52,-5.06,248,188.54,13,67.02,4.06,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,52.13,43.24,39.46,4.98,4.79,1333743.0,1077644.2333333334,56177594.0,46602366.0,44.09,9,96.87,13,56.78,121,65.91,6.71,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NYSE:CVI&interval=D,True,True,False
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,71.05,61.44,64.73,4.65,5.55,759807.3,542118.5333333333,38517522.0,33307763.0,21.18,41,-12.15,291,186.15,14,65.06,1.76,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:AMBQ&interval=D,False,False,True
