scope,window,industry,members,median_pct,mean_pct,slug
finviz,6m,Building Products & Equipment,,-0.61,-0.61,buildingproductsequipment
finviz,1w,Lodging,,2.49,2.49,lodging
finviz,1m,Lodging,,-5.29,-5.29,lodging
finviz,3m,Lodging,,-9.17,-9.17,lodging
finviz,6m,Lodging,,4.68,4.68,lodging
finviz,1w,Financial Data & Stock Exchanges,,2.37,2.37,financialdatastockexchanges
finviz,1m,Financial Data & Stock Exchanges,,-4.72,-4.72,financialdatastockexchanges
finviz,3m,Financial Data & Stock Exchanges,,12.33,12.33,financialdatastockexchanges
finviz,6m,Financial Data & Stock Exchanges,,2.9,2.9,financialdatastockexchanges
finviz,1w,Discount Stores,,2.13,2.13,discountstores
finviz,1m,Discount Stores,,-0.69,-0.69,discountstores
finviz,3m,Discount Stores,,-5.65,-5.65,discountstores
finviz,6m,Discount Stores,,-6.66,-6.66,discountstores
finviz,1w,Tools & Accessories,,2.03,2.03,toolsaccessories
finviz,1m,Tools & Accessories,,-4.39,-4.39,toolsaccessories
finviz,3m,Tools & Accessories,,-7.82,-7.82,toolsaccessories
finviz,6m,Tools & Accessories,,3.63,3.63,toolsaccessories
finviz,1w,Real Estate - Diversified,,1.75,1.75,realestatediversified
finviz,1m,Real Estate - Diversified,,-5.9,-5.9,realestatediversified
finviz,3m,Real Estate - Diversified,,-3.43,-3.43,realestatediversified
finviz,6m,Real Estate - Diversified,,2.28,2.28,realestatediversified
finviz,1w,Internet Content & Information,,1.62,1.62,internetcontentinformation
finviz,1m,Internet Content & Information,,5.15,5.15,internetcontentinformation
finviz,3m,Internet Content & Information,,5.86,5.86,internetcontentinformation
finviz,6m,Internet Content & Information,,17.83,17.83,internetcontentinformation
finviz,1w,Packaging & Containers,,1.52,1.52,packagingcontainers
finviz,1m,Packaging & Containers,,-8.25,-8.25,packagingcontainers
finviz,3m,Packaging & Containers,,-1.73,-1.73,packagingcontainers
finviz,6m,Packaging & Containers,,6.78,6.78,packagingcontainers
finviz,1w,Medical Instruments & Supplies,,1.47,1.47,medicalinstrumentssupplies
finviz,1m,Medical Instruments & Supplies,,-1.43,-1.43,medicalinstrumentssupplies
finviz,3m,Medical Instruments & Supplies,,5.77,5.77,medicalinstrumentssupplies
finviz,6m,Medical Instruments & Supplies,,-0.43,-0.43,medicalinstrumentssupplies
finviz,1w,Airports & Air Services,,1.43,1.43,airportsairservices
finviz,1m,Airports & Air Services,,-4.59,-4.59,airportsairservices
finviz,3m,Airports & Air Services,,-18.99,-18.99,airportsairservices
finviz,6m,Airports & Air Services,,-19.57,-19.57,airportsairservices
finviz,1w,Specialty Retail,,1.39,1.39,specialtyretail
finviz,1m,Specialty Retail,,-9.16,-9.16,specialtyretail
finviz,3m,Specialty Retail,,-4.81,-4.81,specialtyretail
finviz,6m,Specialty Retail,,-1.94,-1.94,specialtyretail
finviz,1w,Residential Construction,,1.37,1.37,residentialconstruction
finviz,1m,Residential Construction,,-7.51,-7.51,residentialconstruction
finviz,3m,Residential Construction,,-13.43,-13.43,residentialconstruction
finviz,6m,Residential Construction,,-1.57,-1.57,residentialconstruction
finviz,1w,Textile Manufacturing,,1.35,1.35,textilemanufacturing
finviz,1m,Textile Manufacturing,,-3.28,-3.28,textilemanufacturing
finviz,3m,Textile Manufacturing,,-14.23,-14.23,textilemanufacturing
finviz,6m,Textile Manufacturing,,18.42,18.42,textilemanufacturing
finviz,1w,Trucking,,1.34,1.34,trucking
finviz,1m,Trucking,,-7.79,-7.79,trucking
finviz,3m,Trucking,,-14.96,-14.96,trucking
finviz,6m,Trucking,,4.88,4.88,trucking
finviz,1w,Consumer Electronics,,1.29,1.29,consumerelectronics
finviz,1m,Consumer Electronics,,8.19,8.19,consumerelectronics
finviz,3m,Consumer Electronics,,14.98,14.98,consumerelectronics
finviz,6m,Consumer Electronics,,33.18,33.18,consumerelectronics
finviz,1w,Paper & Paper Products,,1.28,1.28,paperpaperproducts
finviz,1m,Paper & Paper Products,,1.26,1.26,paperpaperproducts
finviz,3m,Paper & Paper Products,,10.99,10.99,paperpaperproducts
finviz,6m,Paper & Paper Products,,-4.12,-4.12,paperpaperproducts
finviz,1w,REIT - Hotel & Motel,,1.27,1.27,reithotelmotel
