date,frame,basket,leaders
2026-09-22,1m,Software,4
2026-09-22,1m,Internet of Things,3
2026-09-22,1m,Artificial Intelligence,2
2026-09-22,1m,Cloud Computing,2
2026-09-22,1m,Cybersecurity,2
2026-09-22,1m,Big Data,1
2026-09-22,1m,Biometrics,1
2026-09-22,1m,Digital Entertainment,1
2026-09-22,1m,Energy - Renewable,1
2026-09-22,1m,Fintech,1
2026-09-22,1m,Semiconductors,1
2026-09-22,1m,Social Media,1
2026-09-22,1m,Telecommunications,1
2026-09-22,1m,Virtual & Augmented Reality,1
2026-09-22,3m,Software,3
2026-09-22,3m,Cloud Computing,2
2026-09-22,3m,Commodities - Energy,1
2026-09-22,3m,E-Commerce,1
2026-09-22,3m,Energy - Renewable,1
2026-09-22,3m,Telecommunications,1
2026-09-22,6m,Artificial Intelligence,4
2026-09-22,6m,Cloud Computing,4
2026-09-22,6m,Hardware,3
2026-09-22,6m,Big Data,2
2026-09-22,6m,Internet of Things,2
2026-09-22,6m,Semiconductors,2
2026-09-22,6m,Software,2
2026-09-22,6m,Cybersecurity,1
2026-09-22,6m,Telecommunications,1
