name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,9.84,10.01,9.35,8.05,5.52,3.48,2.82,2.6,9.74,8.85,10.0,9.61,15.38,14.46,1.42,4243736.6,6052488.5,59556487.0,48725559.0,1.61,-0.21,117858049.28395061,52.32,9,592.96,2,623.53,1,422.94,5.42,5.25,0.77,0.27,16.2,0.456,75.23,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,2026-11-16,False,False,5,>4x 50-MA,"EMA, near21, ADR, RVOL",7,https://www.tradingview.com/chart/?symbol=NASDAQ:XHLD&interval=D,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,10.19,7.44,7.42,5.86,4.24,6.67,8.52,9.74,7.61,6.83,10.56,8.51,13.74,13.99,1.43,5181705.2,7804344.8,79526274.0,45760776.0,3.34,23.74,277036846.3735408,273.26,1,908.91,1,4.51,248,395.56,10.03,37.33,3.52,1.43,117.9,0.575,53.98,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,,False,True,3,"LoD>60% ATR, >4x 50-MA, large gap","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.09,24.0,23.54,22.58,17.89,14.34,11.47,10.43,23.98,22.87,25.31,24.3,7.1,7.27,1.82,1101054.5,1999752.8666666667,50173799.0,45158419.0,1.84,-0.44,988796917.1022453,7.82,77,61.98,29,386.24,2,152.01,5.54,6.59,1.33,0.55,43.3,0.165,54.07,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,2026-11-13,False,False,5,>4x 50-MA,"EMA, near21, ADR, RVOL",9,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,30.09,27.79,25.15,21.15,17.52,16.37,14.42,15.0,27.43,24.6,30.38,29.33,6.41,6.26,1.88,9798115.3,8958958.033333333,269575047.0,189522278.0,1.62,4.46,2873269575.7987976,132.36,2,93.5,11,191.85,12,139.24,11.45,19.65,3.56,0.56,40.3,0.511,44.44,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,False,2026-11-13,False,True,4,">4x 50-MA, large gap","EMA, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,True,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.0,39.13,38.19,36.64,30.3,24.87,20.79,,38.08,36.95,38.0,35.34,7.33,7.44,2.68,1872710.3,1525937.6,54933754.0,55910354.0,1.6,1.35,2295317103.626374,4.74,101,126.42,4,256.79,5,129.32,2.53,-5.73,0.35,0.99,24.6,0.203,50.94,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,2026-12-02,False,False,5,below 200-MA,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,81.12,70.22,66.16,68.68,71.44,80.34,60.55,49.99,70.96,69.31,81.93,75.84,5.43,7.41,6.02,2743872.8,2376498.2333333334,192781537.0,163225820.0,1.95,1.47,7357030868.476332,8.96,69,-6.03,221,373.28,3,125.4,1.83,22.62,2.3,1.01,87.8,0.353,37.41,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-10-28,False,False,5,LoD>60% ATR,"EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,53.83,51.82,50.84,49.46,44.88,34.22,28.97,26.63,52.19,50.36,54.46,53.12,4.04,4.02,2.16,1051137.2,1065338.3333333333,57347162.0,52691279.0,1.42,-0.57,2784853129.441231,14.9,47,124.95,5,205.85,10,115.23,4.96,5.89,1.71,0.62,32.8,0.138,46.78,True,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,2026-11-10,False,False,4,">4x 50-MA, thin RVOL","EMA, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,False,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.02,186.04,183.84,176.19,144.27,116.03,101.36,110.97,187.63,179.12,194.04,188.83,4.19,4.62,8.87,3463045.9,4704554.6,903368574.0,828913509.0,3.06,0.49,48607715955.492966,18.82,41,129.58,3,163.37,16,103.92,7.16,4.45,1.56,0.59,36.0,0.194,44.1,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,False,2026-10-29,False,False,5,>4x 50-MA,"EMA, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,568.06,546.47,503.67,490.55,462.74,401.44,321.84,272.48,544.52,515.45,595.51,568.06,5.83,5.85,33.23,9860913.7,8636945.899999999,4906303488.0,4236894117.0,1.09,0.81,361179810875.90735,21.39,37,32.14,73,247.44,6,100.32,3.89,12.78,1.74,0.83,0.0,0.392,48.23,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-12-01,False,False,6,,EMA,7,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.16,13.12,13.83,15.46,15.09,12.12,9.35,8.19,13.34,13.98,13.78,12.87,5.42,7.48,0.98,1748902.2,2489497.3333333335,32761785.0,38489703.0,1.32,-0.44,814604018.1319797,-21.43,408,57.6,36,261.54,4,99.24,-1.71,-4.82,0.79,0.92,29.4,0.295,52.47,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,29.02,22.43,21.22,20.3,18.44,16.37,14.91,15.36,23.86,21.73,30.22,28.55,5.83,5.47,1.59,2654212.1,1597507.8333333333,46359677.0,32433137.0,2.37,-3.04,2170859271.087963,60.15,7,83.9,15,137.29,27,93.78,10.5,36.79,6.13,1.05,29.6,0.582,25.94,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,2026-11-11,False,True,4,">4x 50-MA, large gap","EMA, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,True,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,14.09,12.02,11.85,10.37,8.91,8.48,7.4,,12.18,11.34,14.47,13.23,7.69,8.3,1.17,25435090.6,24251616.566666666,341705277.0,251412467.0,2.46,7.72,3352282649.2696805,94.08,4,41.61,58,139.22,26,91.63,7.0,18.93,2.92,1.06,73.5,0.274,32.75,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,2026-12-02,False,True,2,"LoD>60% ATR, >4x 50-MA, below 200-MA, large gap","EMA, RVOL",3,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,True,False,False
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.39,1.14,0.97,0.87,0.94,0.92,1.05,1.31,1.17,1.34,1.28,19.85,13.0,0.17,63386667.2,64533306.46666667,84538631.0,62534710.0,0.2,0.0,245156983.9253731,119.82,3,57.64,35,92.08,58,89.85,3.94,15.08,0.91,0.35,17.6,1.344,40.26,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.66,11.22,10.97,11.5,10.64,9.12,7.26,6.7,11.08,11.09,11.25,10.51,6.5,7.31,0.78,2562144.9,2769947.033333333,29527635.0,31855776.0,1.4,0.0,1290033235.698905,-11.13,271,21.83,102,229.01,7,79.9,0.03,-2.86,0.53,0.95,19.2,0.185,42.44,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,110.29,112.86,114.91,114.92,108.16,89.13,72.27,68.4,112.77,112.96,117.9,108.41,4.51,4.45,4.91,2562042.0,1399446.7666666666,154344984.0,160823489.0,19.01,1.69,11922172191.283737,-7.61,220,33.17,70,210.68,9,78.75,0.44,-4.02,0.53,1.93,38.2,0.142,42.18,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,2026-11-04,False,False,6,,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.41,32.99,34.46,32.02,26.88,21.09,19.1,17.7,33.12,32.4,34.21,32.25,4.9,5.87,1.9,1559034.6,3036191.3,98402960.0,97210749.0,1.36,0.8,4067877664.978786,-10.3,257,111.62,6,129.37,30,76.9,3.5,-5.94,0.0,1.03,8.4,0.238,51.72,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,2026-11-05,False,False,5,thin RVOL,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:AMLX&interval=D,False,True,False
GTLB,GitLab Inc.,NASDAQ,Packaged Software,49.23,48.42,46.56,44.88,40.29,33.96,30.39,31.87,48.37,46.36,50.67,49.06,4.55,4.59,2.26,4210687.7,5609872.566666666,276174026.0,251769211.0,1.35,0.8,8202456524.42769,18.83,40,88.48,13,115.26,35,74.19,4.84,5.75,1.35,0.71,7.3,0.252,36.63,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,False,2026-12-07,False,False,4,">4x 50-MA, thin RVOL","EMA, near21, ADR, RVOL",9,https://www.tradingview.com/chart/?symbol=NASDAQ:GTLB&interval=D,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.23,49.34,48.78,49.87,53.18,54.8,42.25,35.27,49.82,49.8,51.18,48.54,8.26,8.32,4.18,978272.6,828538.8666666667,41617507.0,41317162.0,1.4,1.34,1616440889.8693328,-7.15,212,-2.68,203,225.32,8,71.83,-0.67,2.98,0.1,0.63,40.4,0.236,38.88,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,2026-10-29,False,False,5,thin RVOL,"EMA, near21, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,182.37,178.6,166.46,159.7,152.92,130.24,112.23,106.33,179.22,169.67,190.04,181.36,4.89,5.12,9.34,3937311.9,3910724.3,713198791.0,624530287.0,1.55,-0.12,31882061851.288445,25.99,25,61.94,30,126.94,31,71.62,3.76,9.56,1.46,0.93,10.8,0.449,39.63,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-12-08,False,False,6,,"EMA, near21, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,False,False,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,55.5,57.31,59.59,57.0,51.39,41.59,34.86,30.11,57.22,57.01,57.5,55.41,4.58,5.2,2.89,430819.5,607909.0,33738950.0,34649091.0,2.19,-0.18,1586364017.3471177,-12.67,291,66.62,25,159.35,18,71.1,1.54,-6.86,0.51,0.72,3.1,0.182,53.11,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-11-05,False,False,6,,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:ETON&interval=D,False,False,True
