date,frame,basket,leaders
2026-09-14,1m,Agriculture & Food Tech,1
2026-09-14,1m,Big Data,1
2026-09-14,1m,Crypto & Blockchain,1
2026-09-14,1m,Fintech,1
2026-09-14,1m,Semiconductors,1
2026-09-14,1m,Software,1
2026-09-14,1m,Telecommunications,1
2026-09-14,3m,Cloud Computing,2
2026-09-14,3m,Software,2
2026-09-14,3m,E-Commerce,1
2026-09-14,3m,Healthcare & Biotech,1
2026-09-14,6m,Artificial Intelligence,4
2026-09-14,6m,Cloud Computing,4
2026-09-14,6m,Hardware,4
2026-09-14,6m,Big Data,3
2026-09-14,6m,Healthcare & Biotech,2
2026-09-14,6m,Semiconductors,2
2026-09-14,6m,Fintech,1
2026-09-14,6m,Internet of Things,1
2026-09-14,6m,Software,1
2026-09-14,6m,Telecommunications,1
