date,frame,basket,leaders
2026-09-17,1m,Software,3
2026-09-17,1m,Fintech,2
2026-09-17,1m,Agriculture & Food Tech,1
2026-09-17,1m,Artificial Intelligence,1
2026-09-17,1m,Big Data,1
2026-09-17,1m,Biometrics,1
2026-09-17,1m,Cloud Computing,1
2026-09-17,1m,Commodities - Energy,1
2026-09-17,1m,Consumer Goods,1
2026-09-17,1m,Crypto & Blockchain,1
2026-09-17,1m,Cybersecurity,1
2026-09-17,1m,Digital Entertainment,1
2026-09-17,1m,Energy - Renewable,1
2026-09-17,1m,Healthcare & Biotech,1
2026-09-17,1m,Internet of Things,1
2026-09-17,1m,Semiconductors,1
2026-09-17,1m,Social Media,1
2026-09-17,1m,Telecommunications,1
2026-09-17,1m,Virtual & Augmented Reality,1
2026-09-17,3m,Cloud Computing,3
2026-09-17,3m,Software,3
2026-09-17,3m,Commodities - Energy,1
2026-09-17,3m,E-Commerce,1
2026-09-17,3m,Energy - Renewable,1
2026-09-17,3m,Healthcare & Biotech,1
2026-09-17,6m,Cloud Computing,5
2026-09-17,6m,Artificial Intelligence,4
2026-09-17,6m,Hardware,3
2026-09-17,6m,Big Data,2
2026-09-17,6m,Healthcare & Biotech,2
2026-09-17,6m,Internet of Things,2
2026-09-17,6m,Software,2
2026-09-17,6m,Biometrics,1
2026-09-17,6m,Cybersecurity,1
2026-09-17,6m,Energy - Renewable,1
2026-09-17,6m,Fintech,1
2026-09-17,6m,Industrial Automation,1
2026-09-17,6m,Semiconductors,1
2026-09-17,6m,Telecommunications,1
