date,frame,basket,leaders
2026-09-16,1m,Software,3
2026-09-16,1m,Agriculture & Food Tech,1
2026-09-16,1m,Artificial Intelligence,1
2026-09-16,1m,Big Data,1
2026-09-16,1m,Biometrics,1
2026-09-16,1m,Cloud Computing,1
2026-09-16,1m,Commodities - Energy,1
2026-09-16,1m,Consumer Goods,1
2026-09-16,1m,Cybersecurity,1
2026-09-16,1m,Digital Entertainment,1
2026-09-16,1m,Energy - Renewable,1
2026-09-16,1m,Fintech,1
2026-09-16,1m,Healthcare & Biotech,1
2026-09-16,1m,Internet of Things,1
2026-09-16,1m,Semiconductors,1
2026-09-16,1m,Social Media,1
2026-09-16,1m,Telecommunications,1
2026-09-16,1m,Virtual & Augmented Reality,1
2026-09-16,3m,Cloud Computing,2
2026-09-16,3m,Software,2
2026-09-16,3m,Commodities - Energy,1
2026-09-16,3m,E-Commerce,1
2026-09-16,3m,Energy - Renewable,1
2026-09-16,3m,Healthcare & Biotech,1
2026-09-16,6m,Cloud Computing,5
2026-09-16,6m,Artificial Intelligence,4
2026-09-16,6m,Hardware,3
2026-09-16,6m,Big Data,2
2026-09-16,6m,Healthcare & Biotech,2
2026-09-16,6m,Software,2
2026-09-16,6m,Biometrics,1
2026-09-16,6m,Cybersecurity,1
2026-09-16,6m,Fintech,1
2026-09-16,6m,Internet of Things,1
2026-09-16,6m,Semiconductors,1
2026-09-16,6m,Telecommunications,1
