name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
COHR,Coherent Corp.,NYSE,Semiconductors,310.39,297.87,296.77,5.7,7.16,7158174.2,6967899.566666666,2162766346.0,2075516631.0,4.52,141,-19.4,328,18.86,216,1.33,0.64,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:COHR&interval=D,False,False,False
WYFI,"WhiteFiber, Inc.",NASDAQ,Data Processing Services,20.23,20.92,22.82,5.71,8.8,1276309.1,2512262.8666666667,50823078.0,52566588.0,-6.08,251,-54.76,438,64.2,104,1.12,-1.29,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WYFI&interval=D,False,False,False
KD,"Kyndryl Holdings, Inc.",NYSE,Data Processing Services,12.06,12.92,12.92,4.6,5.06,3874588.8,3726749.5,44944599.0,48130970.0,-2.03,204,8.45,181,-3.52,288,0.97,-1.32,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NYSE:KD&interval=D,False,False,False
PCOR,"Procore Technologies, Inc.",NYSE,Packaged Software,50.85,58.07,54.56,4.09,4.67,2451555.1,2730233.1333333333,138832355.0,158533717.0,-19.73,408,30.69,88,-8.56,311,0.8,-1.46,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NYSE:PCOR&interval=D,False,False,False
CIFR,Cipher Digital Inc.,NASDAQ,Data Processing Services,19.09,16.73,18.27,7.51,8.58,40115905.7,35826837.3,683934324.0,599454642.0,8.96,106,-30.68,387,23.96,190,0.75,0.52,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CIFR&interval=D,False,False,False
ASO,"Academy Sports and Outdoors, Inc.",NASDAQ,Specialty Stores,49.5,47.39,47.73,4.39,4.35,2791733.2,2166905.1,107261802.0,102679882.0,7.38,118,0.77,215,-6.09,299,0.69,0.85,2026-12-03,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ASO&interval=D,False,False,False
STEP,StepStone Group Inc.,NASDAQ,Investment Managers,46.57,49.48,47.53,4.64,4.81,1266620.4,1070219.4333333333,49840119.0,52956598.0,-6.15,252,9.14,176,-2.16,282,0.28,-0.42,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:STEP&interval=D,False,False,False
COMP,"Compass, Inc.",NYSE,Real Estate Development,9.67,11.24,11.48,4.89,5.75,16139498.4,11962563.833333334,115677992.0,134451242.0,-19.48,407,-3.3,239,23.34,195,0.19,-2.75,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:COMP&interval=D,False,False,False
ATRO,Astronics Corporation,NASDAQ,Aerospace & Defense,69.7,76.24,74.14,4.54,5.38,825536.4999999997,741478.6999999996,51681065.0,56526752.0,-9.08,294,-16.94,316,26.4,182,0.13,-1.11,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ATRO&interval=D,False,False,False
CVNA,Carvana Co.,NYSE,Specialty Stores,65.4,71.1,69.25,4.62,4.95,7361510.1,7541730.166666667,493229153.0,536217015.0,-9.0,293,0.32,219,8.67,244,-0.0,-1.12,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:CVNA&interval=D,False,False,False
