name,close,ema8w,dist_to_ema8w_pct,ema8w_slope_pct,off_8w_high_pct,tagged_ema8w,ema8w_rising,signal,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
PBF,72.48,71.5936,1.24,0.355,12.26,True,True,EMA8W_PB,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,PBF Energy Inc.,NYSE,Oil Refining/Marketing,3.0570169202331945,86.9486716533402,50.21761658031089
PENG,54.91,54.2187,1.28,0.366,16.49,True,True,EMA8W_PB,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,5.983400887859475,-10.874857977601042,202.534435261708
