name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
PURR,12.83,0.016824,True,False,True,True,False,True,9.26,14.14,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,84.07460545193688,28.94472361809046,117.82682512733447
FIVN,34.5,0.04524,True,False,True,True,False,True,2.29,35.31,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,8.048856874412778,79.50052029136317,121.01217168481743
CRWD,245.7,0.322187,True,False,True,True,False,True,1.85,250.32,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,15.352112676056334,43.108846013833265,131.9702602230483
CDNA,54.28,0.071178,True,False,True,True,False,True,1.6,55.16,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,"CareDx, Inc.",NASDAQ,Medical Specialties,18.826619964973734,126.82824905975762,208.40909090909088
RBRK,107.83,0.141398,True,False,True,True,False,True,1.05,108.97,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,8.30654881478505,55.846220552102906,111.88838671644724
DELL,588.4,0.771571,True,False,True,True,False,True,0.94,593.9799,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,Dell Technologies Inc.,NYSE,Computer Processing Hardware,26.001113538053012,36.87540709035079,259.8776758409786
NET,333.94,0.437897,True,False,True,True,False,True,0.88,336.9,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,9.93004690971937,48.06242795069611,50.62017951377925
QRVO,119.51,0.156714,True,False,True,True,False,True,0.84,120.52,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QRVO&interval=D,"Qorvo, Inc.",NASDAQ,Semiconductors,25.800000000000004,23.973029045643152,52.611416166517685
SDGR,30.24,0.039654,True,False,True,True,False,True,0.56,30.41,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,"Schrodinger, Inc.",NASDAQ,Packaged Software,74.69670710571924,91.63498098859316,147.2608340147179
DK,81.55,0.106937,True,False,True,True,False,True,0.55,82.0,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DK&interval=D,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,19.55724967013635,95.56354916067144,83.42330184435447
SMCIP,67.59,0.088631,True,False,True,False,False,False,3.73,70.2111,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCIP&interval=D,"Super Micro Computer, Inc. - Depositary Shares Each Representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock",NASDAQ,Computer Processing Hardware,8.299951930780335,33.60347894840877,33.18226600985223
SNOW,338.39,0.443732,False,False,False,True,False,True,12.01,384.56,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:SNOW&interval=D,Snowflake Inc.,NYSE,Packaged Software,3.4388946628354833,45.387755102040806,94.8802119327344
AYA,28.82,0.037792,False,False,False,True,False,True,5.2,30.4,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,11.575687185443293,43.812375249501,116.04197901049476
S,23.19,0.030409,False,False,False,True,False,True,4.37,24.25,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:S&interval=D,"SentinelOne, Inc.",NYSE,Packaged Software,7.1131639722863875,57.22033898305086,61.26564673157162
