date,frame,basket,leaders
2026-09-21,1m,Crypto & Blockchain,4
2026-09-21,1m,Fintech,4
2026-09-21,1m,Agriculture & Food Tech,1
2026-09-21,1m,Big Data,1
2026-09-21,1m,Consumer Goods,1
2026-09-21,1m,Healthcare & Biotech,1
2026-09-21,1m,Internet of Things,1
2026-09-21,1m,Semiconductors,1
2026-09-21,1m,Software,1
2026-09-21,1m,Telecommunications,1
2026-09-21,3m,Software,3
2026-09-21,3m,Cloud Computing,2
2026-09-21,3m,E-Commerce,1
2026-09-21,3m,Healthcare & Biotech,1
2026-09-21,3m,Telecommunications,1
2026-09-21,6m,Cloud Computing,4
2026-09-21,6m,Artificial Intelligence,3
2026-09-21,6m,Hardware,3
2026-09-21,6m,Big Data,2
2026-09-21,6m,Energy - Renewable,1
2026-09-21,6m,Healthcare & Biotech,1
2026-09-21,6m,Industrial Automation,1
2026-09-21,6m,Semiconductors,1
2026-09-21,6m,Software,1
2026-09-21,6m,Telecommunications,1
