name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.0,39.13,38.19,36.64,30.3,24.87,20.79,,38.08,36.95,38.0,35.34,7.33,7.44,2.68,1872710.3,1525937.6,54933754.0,55910354.0,1.6,1.35,2295317103.626374,4.74,101,126.42,4,256.79,5,129.32,2.53,-5.73,0.35,0.99,24.6,0.203,50.94,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,2026-12-02,False,False,5,below 200-MA,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,81.12,70.22,66.16,68.68,71.44,80.34,60.55,49.99,70.96,69.31,81.93,75.84,5.43,7.41,6.02,2743872.8,2376498.2333333334,192781537.0,163225820.0,1.95,1.47,7357030868.476332,8.96,69,-6.03,221,373.28,3,125.4,1.83,22.62,2.3,1.01,87.8,0.353,37.41,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-10-28,False,False,5,LoD>60% ATR,"EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,568.06,546.47,503.67,490.55,462.74,401.44,321.84,272.48,544.52,515.45,595.51,568.06,5.83,5.85,33.23,9860913.7,8636945.899999999,4906303488.0,4236894117.0,1.09,0.81,361179810875.90735,21.39,37,32.14,73,247.44,6,100.32,3.89,12.78,1.74,0.83,0.0,0.392,48.23,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-12-01,False,False,6,,EMA,7,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.16,13.12,13.83,15.46,15.09,12.12,9.35,8.19,13.34,13.98,13.78,12.87,5.42,7.48,0.98,1748902.2,2489497.3333333335,32761785.0,38489703.0,1.32,-0.44,814604018.1319797,-21.43,408,57.6,36,261.54,4,99.24,-1.71,-4.82,0.79,0.92,29.4,0.295,52.47,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.39,1.14,0.97,0.87,0.94,0.92,1.05,1.31,1.17,1.34,1.28,19.85,13.0,0.17,63386667.2,64533306.46666667,84538631.0,62534710.0,0.2,0.0,245156983.9253731,119.82,3,57.64,35,92.08,58,89.85,3.94,15.08,0.91,0.35,17.6,1.344,40.26,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.66,11.22,10.97,11.5,10.64,9.12,7.26,6.7,11.08,11.09,11.25,10.51,6.5,7.31,0.78,2562144.9,2769947.033333333,29527635.0,31855776.0,1.4,0.0,1290033235.698905,-11.13,271,21.83,102,229.01,7,79.9,0.03,-2.86,0.53,0.95,19.2,0.185,42.44,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,110.29,112.86,114.91,114.92,108.16,89.13,72.27,68.4,112.77,112.96,117.9,108.41,4.51,4.45,4.91,2562042.0,1399446.7666666666,154344984.0,160823489.0,19.01,1.69,11922172191.283737,-7.61,220,33.17,70,210.68,9,78.75,0.44,-4.02,0.53,1.93,38.2,0.142,42.18,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,2026-11-04,False,False,6,,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.41,32.99,34.46,32.02,26.88,21.09,19.1,17.7,33.12,32.4,34.21,32.25,4.9,5.87,1.9,1559034.6,3036191.3,98402960.0,97210749.0,1.36,0.8,4067877664.978786,-10.3,257,111.62,6,129.37,30,76.9,3.5,-5.94,0.0,1.03,8.4,0.238,51.72,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,2026-11-05,False,False,5,thin RVOL,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:AMLX&interval=D,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.23,49.34,48.78,49.87,53.18,54.8,42.25,35.27,49.82,49.8,51.18,48.54,8.26,8.32,4.18,978272.6,828538.8666666667,41617507.0,41317162.0,1.4,1.34,1616440889.8693328,-7.15,212,-2.68,203,225.32,8,71.83,-0.67,2.98,0.1,0.63,40.4,0.236,38.88,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,2026-10-29,False,False,5,thin RVOL,"EMA, near21, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,55.5,57.31,59.59,57.0,51.39,41.59,34.86,30.11,57.22,57.01,57.5,55.41,4.58,5.2,2.89,430819.5,607909.0,33738950.0,34649091.0,2.19,-0.18,1586364017.3471177,-12.67,291,66.62,25,159.35,18,71.1,1.54,-6.86,0.51,0.72,3.1,0.182,53.11,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-11-05,False,False,6,,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:ETON&interval=D,False,False,True
