date,frame,basket,leaders
2026-09-15,1m,Crypto & Blockchain,3
2026-09-15,1m,Fintech,3
2026-09-15,1m,Software,2
2026-09-15,1m,Agriculture & Food Tech,1
2026-09-15,1m,Big Data,1
2026-09-15,1m,Consumer Goods,1
2026-09-15,1m,Digital Entertainment,1
2026-09-15,1m,Social Media,1
2026-09-15,1m,Virtual & Augmented Reality,1
2026-09-15,3m,Cloud Computing,2
2026-09-15,3m,Healthcare & Biotech,2
2026-09-15,3m,Software,2
2026-09-15,3m,Commodities - Energy,1
2026-09-15,3m,E-Commerce,1
2026-09-15,3m,Energy - Renewable,1
2026-09-15,6m,Cloud Computing,5
2026-09-15,6m,Artificial Intelligence,4
2026-09-15,6m,Hardware,3
2026-09-15,6m,Big Data,2
2026-09-15,6m,Healthcare & Biotech,2
2026-09-15,6m,Internet of Things,2
2026-09-15,6m,Software,2
2026-09-15,6m,Biometrics,1
2026-09-15,6m,Cybersecurity,1
2026-09-15,6m,Fintech,1
2026-09-15,6m,Semiconductors,1
2026-09-15,6m,Telecommunications,1
