name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,60.76,57.4,55.23,55.45,52.47,46.6,38.88,34.92,57.63,55.96,61.78,59.64,5.82,5.97,3.63,27692542.5,22948578.00000002,1394355599.0,1272559846.0,0.8,1.08,80656757699.35321,9.1,66,23.56,97,170.89,14,67.85,2.65,10.01,1.44,0.59,30.7,0.23,37.0,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,2026-12-03,False,False,6,,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.19,75.84,73.82,72.8,68.89,55.75,51.11,46.11,75.57,73.83,78.48,75.81,5.32,5.54,4.28,4519545.5,3318191.7666666666,256131222.0,241562148.0,2.35,-0.75,9149859555.540436,3.1,113,108.45,7,63.92,90,58.49,2.17,4.57,0.82,0.62,32.2,0.178,38.52,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,2026-10-29,False,False,6,,"EMA, near21, ADR, RVOL",9,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.49,15.9,15.13,15.18,14.24,12.45,11.61,12.93,16.3,15.5,17.62,16.88,6.18,5.91,1.03,8338319.2,6224399.733333333,108864751.0,94457341.0,2.11,1.51,7146198905.520625,14.16,50,98.98,9,87.26,64,66.8,3.87,15.58,2.17,0.72,59.1,0.353,24.54,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,False,2026-12-11,False,False,6,,"EMA, ADR, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.7,2.56,2.59,2.56,2.48,2.15,1.85,1.81,2.6,2.57,2.77,2.65,5.27,5.89,0.16,29642716.900000036,21481323.933333334,57999575.0,54891943.0,2.65,1.48,2410032492.7306275,12.97,53,1.89,178,162.14,17,59.0,1.47,4.29,0.86,0.74,31.4,0.14,28.93,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-11-11,False,False,6,,"EMA, near21, RVOL",8,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,244.25,230.23,227.48,226.3,215.95,222.88,183.04,158.42,231.05,227.27,244.44,235.96,4.02,5.94,14.51,19166869.0,22649842.133333333,5532223941.0,5125659275.0,1.24,0.54,214182826076.38,1.72,135,-20.04,306,174.75,13,52.14,2.21,7.37,1.26,0.58,57.1,0.213,29.4,True,True,True,True,False,True,True,False,False,True,False,True,False,True,True,False,2026-11-26,False,False,6,,"EMA, near21, RVOL",8,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,True
PARR,"Par Pacific Holdings, Inc. Common Stock",NYSE,Oil Refining/Marketing,84.37,83.58,80.84,79.42,78.52,68.61,64.11,57.76,83.48,81.51,87.72,83.38,5.2,5.27,4.45,966617.7000000015,942299.2666666671,79501789.0,74837094.0,2.45,-0.38,4226905547.324431,5.11,98,68.44,23,44.44,130,39.33,1.41,4.37,0.67,0.98,22.3,0.172,30.6,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,2026-11-09,False,False,6,,"EMA, near21, RVOL",8,https://www.tradingview.com/chart/?symbol=NYSE:PARR&interval=D,False,True,False
