industry,rank,ticker,1w,1m,3m,6m
Utilities - Regulated Electric,18,ETR,-3.02,-6.2,-13.48,-3.21
Utilities - Regulated Electric,19,IDA,-3.04,-6.92,-12.64,-6.68
Utilities - Regulated Electric,20,DUK,-3.05,-6.4,-9.77,-10.37
Packaged Foods,1,SRXH,6.25,-6.08,-67.97,-76.07
Packaged Foods,2,PAVS,5.54,-18.64,-68.64,-99.03
Packaged Foods,3,FAMI,4.5,29.33,-88.88,-89.58
Packaged Foods,4,WEST,3.99,-4.27,-16.53,106.12
Packaged Foods,5,COOT,3.28,5.55,-22.11,-12.99
Packaged Foods,6,PRE,3.13,4.08,15.16,2.53
Packaged Foods,7,LSF,2.57,-4.77,-19.69,62.44
Packaged Foods,8,MICC,1.38,-5.41,11.92,30.91
Packaged Foods,9,HLF,1.35,-4.69,-3.85,-18.21
Packaged Foods,10,FTLF,0.75,-6.1,-21.16,-26.64
Packaged Foods,11,LFVN,0.32,-9.36,-0.48,43.19
Packaged Foods,12,NAGE,0.0,-6.54,-13.04,-33.92
Packaged Foods,13,UTZ,-0.21,0.14,93.61,96.28
Packaged Foods,14,MZTI,-0.82,-11.78,-9.28,-27.61
Packaged Foods,15,SJM,-0.93,-2.75,9.66,26.38
Packaged Foods,16,OFRM,-1.04,-8.9,-20.92,0.12
Packaged Foods,17,OTLY,-1.06,-23.75,41.92,24.69
Packaged Foods,18,NATR,-1.07,-9.44,-37.92,-45.63
Packaged Foods,19,JBSS,-1.25,-10.33,-18.7,-9.33
Packaged Foods,20,BRID,-1.36,-5.54,-13.43,-22.87
Farm Products,1,VFF,7.24,11.99,64.95,8.01
Farm Products,2,PFAI,6.76,0.0,-19.79,22.95
Farm Products,3,AGRZ,5.39,-11.95,-28.68,-57.16
Farm Products,4,VITL,2.79,-6.95,-7.2,-25.29
Farm Products,5,ALCO,0.05,-4.37,-2.98,0.15
Farm Products,6,AFRI,-0.09,2.17,8.98,15.97
Farm Products,7,DOLE,-1.37,-4.01,-8.95,-9.9
Farm Products,8,LND,-1.39,-6.6,1.43,-11.06
Farm Products,9,TSN,-1.46,-11.25,-11.16,-15.65
Farm Products,10,DMC,-2.6,-4.1,6.34,-27.9
Farm Products,11,ADM,-3.35,5.1,9.42,14.99
Farm Products,12,CALM,-3.45,-15.21,-9.23,-8.74
Farm Products,13,LMNR,-4.43,-13.7,-7.99,-9.57
Farm Products,14,LOCL,-4.67,0.99,-20.93,-5.56
Farm Products,15,BG,-4.82,1.2,2.28,-10.16
Farm Products,16,AQB,-6.31,-20.61,-11.86,14.29
Farm Products,17,AGRO,-6.63,-3.64,19.1,-22.33
Farm Products,18,TULP,-10.45,-8.38,-15.47,-18.51
Farm Products,19,SDOT,-10.85,-52.12,52.97,-66.19
Farm Products,20,EDBL,-13.67,-14.89,-85.96,-98.05
Entertainment,1,CPOP,65.18,0.05,-68.81,-89.09
Entertainment,2,HUYA,12.62,7.91,4.04,-19.03
Entertainment,3,KUST,11.95,-30.07,-53.87,-79.24
Entertainment,4,WBD,9.58,7.18,13.09,12.76
Entertainment,5,AMC,7.89,7.49,43.5,188.18
Entertainment,6,BATRK,5.21,1.56,3.21,25.9
Entertainment,7,CNK,5.17,-6.8,7.93,27.14
Entertainment,8,ZNB,4.55,-23.33,-73.42,-93.47
Entertainment,9,BATRA,3.81,1.27,3.44,23.2
Entertainment,10,TOON,3.31,-10.31,-23.67,-3.32
Entertainment,11,MANU,2.45,-13.54,-2.94,23.66
Entertainment,12,IMAX,2.36,-2.72,21.36,39.49
Entertainment,13,RSVR,1.16,-2.45,-6.37,2.91
Entertainment,14,MCS,0.94,-10.06,18.8,65.38
Entertainment,15,ANGH,0.63,12.88,-27.61,5.83
Entertainment,16,MSGS,0.25,-1.94,7.85,25.69
Entertainment,17,GAIA,0.0,-15.65,-47.46,-56.49
Entertainment,18,AENT,-0.4,-8.62,-10.43,-33.33
Entertainment,19,LFS,-0.46,-4.85,-9.62,-10.0
Entertainment,20,LLYVA,-0.46,-6.96,-1.4,4.26
Oil & Gas E&P,1,GLND,142.5,95.3,7.78,-68.81
Oil & Gas E&P,2,PROP,4.98,-18.8,-36.65,-76.29
Oil & Gas E&P,3,CKX,4.23,-2.62,-2.58,4.83
Oil & Gas E&P,4,CRK,2.67,-5.81,-0.07,-36.91
Oil & Gas E&P,5,BKV,2.11,-3.88,-9.74,-20.9
Oil & Gas E&P,6,EQT,1.29,-5.08,-0.82,-21.84
Oil & Gas E&P,7,FTW,1.2,-11.05,-16.13,-17.65
Oil & Gas E&P,8,HPK,0.25,-2.95,16.37,14.35
Oil & Gas E&P,9,VOC,0.0,-1.17,26.22,-8.17
Oil & Gas E&P,10,AR,-0.08,-5.94,2.71,-17.8
Oil & Gas E&P,11,RRC,-0.21,-6.01,6.75,-15.61
Oil & Gas E&P,12,EPSN,-0.51,4.63,13.98,-5.32
Oil & Gas E&P,13,PVL,-0.54,1.1,2.79,0.0
Oil & Gas E&P,14,SJT,-0.66,8.63,0.67,-41.36
Oil & Gas E&P,15,LB,-0.71,-5.73,33.69,13.44
Oil & Gas E&P,16,DVN,-0.83,-0.39,12.4,-4.44
Oil & Gas E&P,17,EPM,-0.83,3.75,-5.76,-20.18
Oil & Gas E&P,18,BRN,-1.0,1.83,-4.81,-14.66
Oil & Gas E&P,19,DMLP,-1.19,-0.31,13.62,5.09
Oil & Gas E&P,20,KRP,-1.37,-6.79,-1.5,-1.77
Aluminum,1,KALU,2.55,2.47,-10.64,37.12
Aluminum,2,CENX,-2.46,-11.09,-12.76,-22.72
Aluminum,3,CSTM,-3.74,-6.27,-23.58,1.26
Aluminum,4,AA,-4.84,-10.87,-15.83,-22.34
Auto & Truck Dealerships,1,KXIN,41.59,-70.64,-63.64,-72.41
Auto & Truck Dealerships,2,UCAR,19.48,-61.36,-82.03,-79.93
Auto & Truck Dealerships,3,RDNW,7.27,2.02,-5.91,-8.05
Auto & Truck Dealerships,4,VVV,5.97,-13.84,-27.42,-16.38
Auto & Truck Dealerships,5,DRVN,2.2,-5.33,-6.48,-0.36
Auto & Truck Dealerships,6,AZI,1.65,-6.82,7.89,-49.59
Auto & Truck Dealerships,7,UXIN,0.93,-4.39,-31.01,-68.04
Auto & Truck Dealerships,8,ACVA,0.1,39.63,58.03,126.25
Auto & Truck Dealerships,9,NXB,-0.94,9.38,0.96,-11.76
Auto & Truck Dealerships,10,RUSHA,-1.98,-8.47,-0.24,8.18
Auto & Truck Dealerships,11,PAG,-2.1,-3.86,14.29,43.44
Auto & Truck Dealerships,12,CVNA,-2.22,-11.59,-5.83,6.24
Auto & Truck Dealerships,13,KMX,-2.28,-8.5,13.13,36.48
Auto & Truck Dealerships,14,OPLN,-2.48,0.41,-13.25,25.84
Auto & Truck Dealerships,15,CWH,-3.6,-16.51,-29.1,-20.36
Auto & Truck Dealerships,16,BGSI,-4.14,-8.35,-16.24,-42.96
Auto & Truck Dealerships,17,GPI,-5.61,-4.58,-22.05,-22.13
Auto & Truck Dealerships,18,ABG,-7.01,-13.91,-12.02,-4.41
Auto & Truck Dealerships,19,CRMT,-7.73,-24.77,-53.22,-86.28
Auto & Truck Dealerships,20,SDA,-8.92,-36.24,-42.81,-75.48
Advertising Agencies,1,TJGC,111.25,281.64,433.94,1215.25
Advertising Agencies,2,HAO,12.06,4.98,-85.77,-99.9
Advertising Agencies,3,EDHL,10.56,28.25,16.33,66.56
Advertising Agencies,4,YDKG,6.41,-14.13,-0.47,1.39
Advertising Agencies,5,DLPN,3.77,-1.79,-8.33,-28.57
Advertising Agencies,6,MCHX,3.1,-24.43,-10.74,-6.99
Advertising Agencies,7,CNET,3.08,-5.63,39.58,84.24
Advertising Agencies,8,FLNT,2.99,-17.27,2.68,-5.74
Advertising Agencies,9,CHR,2.28,-16.49,-19.9,-41.92
Advertising Agencies,10,STGW,1.8,-4.5,19.94,37.44
Advertising Agencies,11,MGNI,1.18,2.12,31.55,100.0
Advertising Agencies,12,ACCS,0.41,-2.02,-27.61,-33.01
Advertising Agencies,13,STFS,0.32,-16.01,-73.44,-15.38
Advertising Agencies,14,ADV,0.27,-0.42,-23.2,70.77
Advertising Agencies,15,EVC,-0.13,-2.84,-29.71,151.76
Advertising Agencies,16,TSQ,-0.39,-10.54,-21.93,-9.27
Advertising Agencies,17,DV,-0.67,0.75,29.47,35.63
Advertising Agencies,18,WPP,-0.99,-7.03,51.6,64.72
Advertising Agencies,19,KRKR,-1.66,0.65,5.98,-17.33
Advertising Agencies,20,CCO,-1.67,-0.42,-1.67,-2.08
Marine Shipping,1,SVRN,178.21,282.04,291.7,667.33
Marine Shipping,2,VNTG,22.44,16.7,11.14,-17.6
Marine Shipping,3,HTCO,14.01,-17.05,-44.08,-73.84
Marine Shipping,4,HMR,13.5,32.14,48.0,116.22
Marine Shipping,5,ICON,12.68,-1.98,16.47,13.14
Marine Shipping,6,PSHG,5.26,3.45,5.88,-3.74
Marine Shipping,7,ZIM,2.59,6.03,17.63,13.72
Marine Shipping,8,HSHP,0.15,11.36,34.94,50.28
Marine Shipping,9,PANL,-0.72,-1.67,13.07,15.45
Marine Shipping,10,USEA,-0.98,10.18,13.91,51.5
Marine Shipping,11,CCEC,-1.18,-4.86,5.33,8.11
Marine Shipping,12,SBLK,-1.52,-0.98,18.43,29.97
Marine Shipping,13,GSL,-1.89,-0.22,15.12,12.9
Marine Shipping,14,CMRE,-2.46,-5.78,-2.59,-16.07
Marine Shipping,15,DAC,-2.98,2.6,23.25,33.01
Marine Shipping,16,HOS,-3.13,-16.25,-2.57,-16.42
Marine Shipping,17,GASS,-3.54,-6.54,8.04,-4.76
Marine Shipping,18,GNK,-3.57,-1.86,9.44,14.96
Marine Shipping,19,DSX,-3.68,6.67,39.81,14.29
Marine Shipping,20,ESEA,-3.78,-6.8,4.85,5.27
Personal Services,1,EJH,0.89,-2.48,-26.57,-51.05
Personal Services,2,MED,-0.08,-0.42,15.35,24.61
Personal Services,3,RGS,-0.25,2.8,5.8,13.8
Personal Services,4,CSV,-0.78,-8.24,-17.91,-26.37
Personal Services,5,ANDG,-1.93,7.92,46.84,102.29
Personal Services,6,ROL,-3.1,-12.8,-27.05,-39.03
Personal Services,7,BFAM,-3.16,-10.22,-2.08,-15.86
Personal Services,8,SCI,-3.52,-7.57,5.15,0.48
Personal Services,9,TRNR,-3.99,-13.96,-31.34,-70.88
Personal Services,10,HRB,-5.7,-20.75,17.09,37.4
Personal Services,11,MRM,-6.43,-22.64,-31.31,-36.91
Personal Services,12,CLIK,-7.14,-13.97,-25.95,-39.69
Personal Services,13,FTDR,-8.18,-10.63,1.45,24.81
Telecom Services,1,IOTR,23.74,-20.66,-25.76,21.57
Telecom Services,2,TV,10.96,-13.21,-11.31,-16.49
Telecom Services,3,ATEX,10.18,-7.08,6.18,118.02
Telecom Services,4,SURG,4.79,-10.98,-61.53,-82.85
Telecom Services,5,TKC,4.67,-4.8,-14.0,-14.85
Telecom Services,6,SHEN,4.31,-1.71,-17.31,-17.7
Telecom Services,7,SIFY,3.0,-3.85,-7.48,-1.01
Telecom Services,8,CXDO,2.84,-7.5,-19.11,-7.79
Telecom Services,9,VEON,2.7,15.06,36.46,45.79
Telecom Services,10,CHT,2.26,7.02,3.8,8.78
Telecom Services,11,IRDM,2.16,2.11,14.24,80.02
Telecom Services,12,IQST,1.98,8.07,-4.63,-44.02
Telecom Services,13,ELWT,1.64,-2.53,16.8,3.71
Telecom Services,14,KVHI,1.56,-4.41,-23.01,-18.73
Telecom Services,15,RDCM,1.48,1.08,-18.51,-4.98
Telecom Services,16,SKM,1.41,-10.38,8.77,16.21
Telecom Services,17,TEO,1.3,3.17,9.73,20.21
Telecom Services,18,OPTU,0.99,18.62,-36.65,-18.4
Telecom Services,19,PCLA,0.83,0.55,111.99,251.53
Telecom Services,20,GSAT,0.73,0.47,2.94,35.05
Consulting Services,1,ZTG,46.61,96.17,-2.26,25.36
Consulting Services,2,GRNQ,13.22,-8.45,-32.62,-50.45
Consulting Services,3,SBC,8.26,16.87,57.98,25.65
Consulting Services,4,DGNX,5.76,11.36,60.2,-65.33
Consulting Services,5,HURN,3.82,-1.65,65.66,28.08
Consulting Services,6,AERT,3.69,2.78,-4.36,187.61
Consulting Services,7,RYOJ,2.77,-21.23,64.16,59.23
Consulting Services,8,EGG,2.65,-17.38,-64.34,-52.46
Consulting Services,9,FOFO,2.33,-28.16,-51.65,-58.49
Consulting Services,10,FORR,1.38,-1.67,47.8,104.87
Consulting Services,11,VCIG,-0.61,-44.78,-97.57,-93.45
Consulting Services,12,PPHC,-0.76,5.68,52.6,-11.14
Consulting Services,13,CRAI,-1.43,-7.72,12.23,2.58
Consulting Services,14,RGP,-3.47,-9.11,-6.04,4.85
Consulting Services,15,BAH,-3.52,0.57,20.69,-4.09
Consulting Services,16,ICFI,-4.32,-5.81,23.26,21.61
Consulting Services,17,ROMA,-4.9,-0.17,12.77,13.78
Consulting Services,18,EFX,-5.18,-20.2,-1.45,-8.37
Consulting Services,19,VRSK,-5.47,-9.36,-4.59,-11.78
Consulting Services,20,FCN,-8.02,-14.17,-7.52,-22.02
Luxury Goods,1,CPRI,4.75,12.79,-19.34,-15.54
Luxury Goods,2,BRLT,3.62,7.52,23.28,6.72
Luxury Goods,3,LUXE,1.25,14.21,15.54,12.48
Luxury Goods,4,MOV,0.91,-4.29,-12.62,39.61
Luxury Goods,5,SORA,-1.32,3.23,4.67,21.08
Luxury Goods,6,SIG,-2.74,19.98,17.66,12.91
Luxury Goods,7,ELA,-2.81,-11.94,-53.3,-27.89
Luxury Goods,8,LANV,-2.83,-5.5,-31.33,-36.81
Luxury Goods,9,REAL,-3.43,-18.77,-28.81,3.45
Luxury Goods,10,TPR,-6.3,-16.38,-26.2,-23.27
Insurance - Property & Casualty,1,PRCH,4.53,-2.64,26.31,122.95
Insurance - Property & Casualty,2,PRHI,0.53,5.38,64.66,82.15
Insurance - Property & Casualty,3,BOW,0.45,0.27,16.41,49.93
Insurance - Property & Casualty,4,SAFT,-0.04,-0.23,40.7,41.04
Insurance - Property & Casualty,5,ACIC,-0.76,-2.46,-16.8,-19.38
Insurance - Property & Casualty,6,HGTY,-1.44,2.24,19.34,29.73
Insurance - Property & Casualty,7,WTM,-1.47,-4.7,0.47,-8.13
Insurance - Property & Casualty,8,CB,-1.85,-3.07,0.02,2.95
Insurance - Property & Casualty,9,CNA,-2.02,-5.12,0.36,2.95
Insurance - Property & Casualty,10,UFCS,-2.24,-0.63,4.95,43.83
Insurance - Property & Casualty,11,AFG,-2.34,-3.32,1.02,9.32
Insurance - Property & Casualty,12,SIGI,-2.49,-6.82,-9.5,15.75
Insurance - Property & Casualty,13,MKL,-2.56,-4.15,-8.34,-8.25
Insurance - Property & Casualty,14,NODK,-2.83,-2.38,-6.35,12.76
Insurance - Property & Casualty,15,WRB,-3.26,-2.91,-3.4,4.84
Insurance - Property & Casualty,16,L,-3.45,-5.75,-6.15,-1.96
Insurance - Property & Casualty,17,UVE,-3.81,-2.59,4.32,21.8
Insurance - Property & Casualty,18,MCY,-4.01,-7.94,-8.55,10.43
Insurance - Property & Casualty,19,SKWD,-4.26,-5.32,0.83,29.28
Insurance - Property & Casualty,20,KINS,-4.28,-7.57,6.05,25.13
Oil & Gas Refining & Marketing,1,CSAN,2.61,0.0,-6.14,-32.6
Oil & Gas Refining & Marketing,2,IEP,1.94,5.27,-1.87,-6.03
Oil & Gas Refining & Marketing,3,WKC,1.61,1.18,14.05,56.9
Oil & Gas Refining & Marketing,4,UGP,1.32,13.99,56.97,45.08
Oil & Gas Refining & Marketing,5,SGU,0.08,1.35,1.43,2.24
Oil & Gas Refining & Marketing,6,CAPL,-1.35,-6.6,0.69,0.69
Oil & Gas Refining & Marketing,7,DKL,-2.29,2.02,12.16,1.36
Oil & Gas Refining & Marketing,8,CVI,-2.36,36.21,93.28,56.68
Oil & Gas Refining & Marketing,9,PSX,-3.08,6.0,52.09,39.3
Oil & Gas Refining & Marketing,10,CLNE,-4.71,1.89,-6.36,-30.17
Oil & Gas Refining & Marketing,11,SUN,-4.89,-1.38,20.83,14.61
Oil & Gas Refining & Marketing,12,MPC,-6.17,7.13,57.55,59.23
Oil & Gas Refining & Marketing,13,VLO,-6.8,8.62,55.03,55.47
Oil & Gas Refining & Marketing,14,DINO,-6.87,11.52,61.41,72.75
Oil & Gas Refining & Marketing,15,PBF,-7.19,1.38,74.69,40.69
Oil & Gas Refining & Marketing,16,DK,-8.72,6.14,62.71,57.39
Oil & Gas Refining & Marketing,17,APC,-8.76,-9.59,-7.37,-5.72
Oil & Gas Refining & Marketing,18,PARR,-9.34,3.55,50.16,24.75
Oil & Gas Refining & Marketing,19,DLXY,-78.03,32.37,18.21,-13.93
Insurance Brokers,1,CRD-B,4.61,-2.48,5.92,20.39
Insurance Brokers,2,CRVL,2.91,2.91,18.36,37.42
Insurance Brokers,3,EZRA,0.37,-11.22,-22.14,-65.51
Insurance Brokers,4,CRD-A,-0.56,-7.82,6.82,26.58
Insurance Brokers,5,BWIN,-0.59,1.76,28.07,44.18
Insurance Brokers,6,ARX,-0.6,0.31,47.49,49.96
Insurance Brokers,7,HUIZ,-0.69,-9.49,22.22,-14.88
Insurance Brokers,8,EHTH,-1.53,-31.38,-52.58,-43.73
Insurance Brokers,9,MRSH,-3.61,-12.48,2.66,-1.57
Insurance Brokers,10,WTW,-4.45,-14.76,14.34,1.92
Insurance Brokers,11,AIFU,-5.4,-54.19,-78.27,-71.75
Insurance Brokers,12,AJG,-5.8,-15.57,4.02,6.18
Insurance Brokers,13,AON,-6.31,-21.58,-13.48,-13.89
Insurance Brokers,14,BRO,-6.34,-17.31,-0.16,-7.22
Insurance Brokers,15,ERIE,-8.07,-15.96,-1.64,-6.14
Insurance Brokers,16,TWFG,-8.65,-18.37,11.91,35.25
Insurance Brokers,17,NP,-9.04,-16.23,-4.24,24.99
Insurance Brokers,18,TREE,-9.71,-22.51,-37.19,-43.17
Insurance Brokers,19,RYAN,-10.23,-18.43,2.52,7.91
Insurance Brokers,20,LIFE,-12.04,-7.65,87.35,236.08
Grocery Stores,1,MSS,38.16,51.08,-40.79,-71.35
Grocery Stores,2,DDL,4.59,-3.39,11.22,-9.52
Grocery Stores,3,NGVC,1.71,5.55,-9.27,19.21
Grocery Stores,4,VLGEA,1.16,0.95,3.81,10.38
Grocery Stores,5,IMKTA,0.47,-2.79,-7.88,-4.09
Grocery Stores,6,WMK,-0.71,2.01,-9.82,9.84
Grocery Stores,7,GO,-2.62,-7.31,13.88,70.9
Grocery Stores,8,DNUT,-2.89,-16.34,-19.03,-10.91
Grocery Stores,9,KR,-5.72,-2.44,-1.44,-19.81
Grocery Stores,10,ACI,-6.85,-7.22,-17.2,-30.6
Grocery Stores,11,SFM,-7.02,-23.29,-22.62,-12.66
Grocery Stores,12,YSWY,-9.98,-23.01,-5.5,
Grocery Stores,13,VHUB,-27.63,-34.82,-59.62,-35.1
Grocery Stores,14,HOST,-43.46,-17.45,6.16,-17.09
Mortgage Finance,1,PAPL,2.59,-20.17,2.75,27.32
Mortgage Finance,2,GHI,0.0,-10.38,1.71,18.02
Mortgage Finance,3,PFSI,-0.52,-12.73,-21.28,-22.17
Mortgage Finance,4,UWMC,-0.81,-14.08,-39.6,-66.2
Mortgage Finance,5,IOR,-1.46,-8.94,1.91,1.22
Mortgage Finance,6,BETR,-1.62,3.67,-53.57,-57.47
Mortgage Finance,7,BLNE,-2.45,-1.63,-18.16,-56.5
Mortgage Finance,8,VEL,-4.41,-14.21,-10.77,-8.87
Mortgage Finance,9,LDI,-4.46,-24.49,-43.93,-53.6
Mortgage Finance,10,CNF,-4.92,-20.55,-40.0,-51.4
Mortgage Finance,11,WD,-5.88,-6.38,-30.26,-15.96
Mortgage Finance,12,RKT,-6.18,-13.77,-17.52,-14.26
Mortgage Finance,13,ONIT,-7.82,-12.12,-13.92,-15.72
Publishing,1,TNMG,58.19,42.66,9.22,-71.09
Publishing,2,SCHL,1.0,-12.26,-17.56,-9.01
Publishing,3,EDUC,0.0,-4.76,-14.47,0.0
Publishing,4,PSO,-0.13,-4.51,5.51,24.73
Publishing,5,TDAY,-1.39,-0.31,-20.22,-4.63
Publishing,6,WLY,-3.61,-10.24,7.84,29.9
Publishing,7,LEE,-7.24,-17.55,-22.31,-17.09
Publishing,8,NYT,-14.53,-8.3,-13.1,-26.46
Travel Services,1,NTRP,8.99,53.36,-2.02,-22.4
Travel Services,2,AHMA,3.94,-5.71,-31.96,-22.35
Travel Services,3,TOUR,1.3,2.12,8.92,-29.26
Travel Services,4,TCOM,0.49,-11.71,-12.25,-20.61
Travel Services,5,YTRA,0.0,7.75,9.47,-1.89
Travel Services,6,GBTG,-0.11,-0.21,0.85,79.85
Travel Services,7,LIND,-0.69,-14.64,0.93,49.86
Travel Services,8,PRSU,-1.7,-1.41,-10.05,36.24
Travel Services,9,TNL,-2.06,-13.72,-17.72,-10.78
Travel Services,10,MMYT,-2.24,-22.44,-9.46,17.24
Travel Services,11,NCLH,-2.41,-17.65,-32.51,-27.87
Travel Services,12,CCL,-2.46,-15.21,-24.59,-14.41
Travel Services,13,VIK,-5.95,-12.21,-22.08,10.5
Travel Services,14,BKNG,-9.04,-26.93,-13.99,-9.16
Travel Services,15,RCL,-9.3,-21.4,-28.24,-15.76
Travel Services,16,EXPE,-9.73,-23.62,-1.19,9.3
Travel Services,17,TRIP,-10.07,-21.1,-38.06,-17.28
Travel Services,18,ABNB,-10.7,-21.36,3.59,15.06
Gambling,1,BRAG,-2.07,-4.05,-16.47,-30.39
Gambling,2,BRSL,-2.56,-13.2,-5.18,-21.2
Gambling,3,CHDN,-2.65,-11.3,-4.9,-6.5
Gambling,4,ROLR,-2.75,-2.28,13.4,58.58
Gambling,5,ACEL,-3.74,-7.44,-15.16,-1.86
Gambling,6,CDRO,-4.75,1.76,-3.65,12.84
Gambling,7,MRDN,-6.68,-5.23,1.51,74.06
Gambling,8,INSE,-8.15,-25.21,-43.98,-30.08
Gambling,9,SGHC,-9.62,-14.01,-9.68,9.56
Gambling,10,GRSD,-11.05,-23.12,-30.14,-61.07
Gambling,11,FLUT,-11.96,-16.27,-12.81,-20.35
Gambling,12,DKNG,-12.66,-18.17,-13.37,-8.84
Gambling,13,SEGG,-14.07,13.44,-55.19,-37.88
Gambling,14,RSI,-20.59,-22.18,-31.08,-7.22
