name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.W,perf_1w_rank,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1w,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,12.08,8.9,6.08,14.37,12.57,4460256.6,3789612.2333333334,45778516.0,33738286.0,27.16,13,58.32,5,866.4,1,874.19,1,599.64,7.85,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:XHLD&interval=D,True,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.97,23.73,18.85,7.17,7.72,1358276.6,1576119.7333333334,40931829.0,37404474.0,10.23,98,21.87,44,85.5,13,410.22,2,172.53,4.9,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,False,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,70.19,71.13,5.92,7.22,3004515.8,2506159.033333333,211319330.0,175914821.0,23.27,23,31.91,21,-4.31,212,399.23,3,142.28,2.57,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,True,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.99,22.86,18.57,6.73,6.7,10412905.3,9761621.6,282989410.0,223139281.0,4.21,165,54.53,6,123.52,4,189.9,16,122.65,8.38,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,False,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,195.08,180.34,150.38,4.16,4.64,3331614.2,3883872.6333333333,757665873.0,700416943.0,5.16,149,15.23,67,146.47,2,191.12,15,117.61,6.41,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,False,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,36.94,31.24,8.31,8.12,1869234.4,1559757.1,52891363.0,57622626.0,-14.58,436,2.6,148,88.08,12,235.74,7,108.81,1.05,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,11.3,10.75,6.93,7.19,2725180.9,2670602.2666666666,30818750.0,30180031.0,2.12,198,8.05,106,14.31,134,292.52,5,104.96,1.03,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,14.97,14.93,5.53,6.83,2051601.9,2441762.1333333333,34331176.0,36543819.0,9.76,104,-11.63,304,16.83,124,304.02,4,103.07,-0.85,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.94,11.08,9.3,7.69,8.08,26468000.5,26313778.033333335,366814066.0,291613674.0,24.35,20,27.07,26,73.82,22,195.03,14,98.64,6.17,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,True,False,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,205.36,164.49,156.13,4.41,4.7,4543515.2,4164821.5,855287743.0,685084677.0,10.1,99,53.01,7,72.95,23,169.32,21,98.43,6.71,2026-12-08,False,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,False,True,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,29.23,21.46,19.26,6.48,5.89,3232984.4,1748612.3,51111938.0,37517060.0,25.5,16,49.06,8,90.3,11,154.17,28,97.84,8.78,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,True,True,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,59.13,50.45,52.12,7.87,7.64,1116699.5,858988.7333333333,50792004.0,43338129.0,21.67,28,26.27,29,13.1,140,247.82,6,95.73,1.76,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.03,0.9,13.69,11.63,26117098.8,65171968.86666667,85375279.0,67137773.0,0.0,243,107.28,2,81.38,17,95.52,65,94.73,3.91,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,False,True,True,False
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,262.49,218.74,210.61,4.47,4.93,13574424.8,11404613.266666668,2993596936.0,2494591884.0,10.79,90,38.5,13,54.32,44,183.12,19,91.98,5.0,2026-12-01,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,False,True,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,549.83,501.27,469.82,5.44,5.82,9935530.999999996,8997568.166666666,4947132905.0,4510204997.0,-0.69,254,25.47,31,32.64,77,213.96,9,90.69,2.92,2026-12-01,False,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,37.68,33.23,30.88,5.49,5.59,2937728.0,2088618.8333333333,78699158.0,69410722.0,14.11,59,14.84,69,93.73,9,154.94,27,87.84,3.94,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,False,True,False
RNG,"RingCentral, Inc.",NYSE,Packaged Software,79.23,70.04,62.78,4.29,4.23,1720941.2,1511059.2,119721220.0,105839623.0,11.89,78,19.05,54,126.05,3,117.46,44,87.52,6.19,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,False,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.87,2.6,2.54,5.55,5.79,29694479.000000037,23408654.900000002,67182840.0,60846897.0,11.67,82,12.99,79,42.79,59,195.88,13,83.88,2.21,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,False,True
DAIC,"CID HoldCo, Inc.",NASDAQ,Miscellaneous,3.33,2.62,1.98,21.13,29.66,13391031.3,16168422.1,53840846.0,42389992.0,51.36,5,208.25,1,74.35,21,-32.73,402,83.29,2.3,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:DAIC&interval=D,True,True,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,18.57,15.5,14.56,5.65,5.23,8916653.5,6285019.833333333,116712818.0,97386382.0,8.41,121,28.25,24,96.09,6,123.73,42,82.69,5.27,2026-12-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,False,False,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.46,298.17,303.93,5.68,6.52,4479841.9,3847781.566666667,1386971344.0,1147275073.0,41.23,9,32.67,19,-14.7,286,224.74,8,80.9,2.85,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,True,True,False,True
