name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1766.64,1660.38,1599.95,1573.32,1501.22,1594.73,1307.21,1076.04,1655.79,1612.2,1834.49,1737.01,5.09,6.52,115.21,9943951.0,12173346.366666667,21505920625.0,19152583508.0,0.99,1.91,258669665620.6748,10.08,82,-12.01,279,171.37,16,56.48,2.71,10.42,1.47,0.85,25.7,0.265,33.08,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-05,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,257.38,233.61,228.49,227.59,216.38,223.92,184.23,159.24,235.84,230.01,261.18,244.98,4.03,5.7,14.68,19221338.2,22719822.533333335,5847627924.0,5170774117.0,1.12,2.93,225696528283.54938,1.98,157,-7.69,244,173.59,14,55.96,3.32,12.64,2.09,1.1,84.4,0.239,28.9,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2026-11-26,False,True,4,"LoD>60% ATR, large gap",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.29,32.41,31.66,31.36,30.75,28.03,23.31,21.32,32.05,31.73,32.16,30.37,5.88,5.97,1.87,6037229.0,5366663.266666667,167922894.0,168289616.0,1.52,-3.52,8556845111.281046,-0.45,175,10.96,155,152.34,20,54.28,0.3,-1.17,0.23,0.96,49.3,0.137,35.45,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,False,2026-11-10,False,True,5,large gap,"near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NYSE:OSCR&interval=D,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,38.62,36.56,38.46,37.73,33.34,27.97,26.69,28.16,37.65,37.17,38.76,37.73,4.83,5.2,2.01,1016222.0,853706.4333333333,32970142.0,32211482.0,0.52,0.61,2766284814.2473345,3.54,141,91.09,14,55.6,112,50.08,3.05,0.42,0.75,0.51,44.3,0.261,30.48,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-10-29,False,False,5,thin RVOL,"EMA, near21, ADR",10,https://www.tradingview.com/chart/?symbol=NASDAQ:APPN&interval=D,False,True,False
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,136.76,141.85,139.76,129.63,117.74,99.98,97.28,100.02,139.05,135.17,139.24,135.12,4.05,4.66,6.37,1440707.1,2044773.3666666667,279643206.0,265065335.0,0.63,0.45,5803325515.857984,27.53,23,60.89,37,52.4,119,46.94,3.47,-2.15,0.25,0.65,25.7,0.313,32.59,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-24,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NYSE:ANF&interval=D,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,72.48,75.65,73.76,73.16,69.27,56.06,51.36,46.3,75.01,73.7,78.48,72.14,5.76,6.11,4.43,4762282.5,3365647.7666666666,243942150.0,246225181.0,0.95,-2.14,8591550849.032257,3.06,149,86.95,18,50.22,123,46.74,0.76,-1.74,0.27,1.43,7.7,0.179,40.5,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,2026-10-29,False,True,4,"thin RVOL, large gap",near21,5,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,False,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,17.96,16.56,16.91,18.13,19.18,19.92,15.85,13.93,16.88,17.33,18.47,17.63,7.01,9.46,1.7,6787305.899999996,7681227.433333328,137954845.0,139237610.0,0.7,1.21,1435977356.6294866,-5.52,236,-19.1,321,156.57,18,43.98,-0.67,6.23,0.38,0.49,19.4,0.373,33.36,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-12-17,False,False,5,thin RVOL,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:FCEL&interval=D,False,False,True
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,29.92,32.23,32.67,32.43,28.74,23.77,22.83,23.4,31.72,31.75,30.79,29.7,4.77,4.97,1.49,10081969.8,8272841.333333333,247523413.0,268307548.0,0.76,1.12,11327266026.27102,-6.5,250,77.88,21,58.39,103,43.26,0.83,-8.42,1.16,0.73,14.8,0.151,32.9,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-11,False,False,6,,near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:CHYM&interval=D,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,21.53,22.51,25.55,26.7,26.51,23.72,19.67,18.32,22.87,24.55,21.65,20.71,5.73,6.7,1.44,6988177.2,3749921.8333333335,80735817.0,100141038.0,0.78,-1.12,5611482287.785113,-25.14,425,0.89,206,145.78,23,40.51,-2.8,-15.73,1.83,0.65,56.8,0.537,38.05,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-12-15,False,False,5,thin RVOL,,4,https://www.tradingview.com/chart/?symbol=NASDAQ:NAVN&interval=D,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,272.89,268.64,244.02,235.24,225.99,254.27,225.34,199.68,263.26,250.28,282.0,265.36,5.83,6.89,18.79,20610955.3,14865253.7,4056579082.0,3496922101.0,0.7,1.65,80373568312.9188,32.33,15,-11.79,278,84.86,67,35.13,3.01,11.83,1.31,0.89,40.1,0.444,25.27,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-10-29,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NYSE:BE&interval=D,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,83.53,78.73,81.71,79.32,69.85,62.6,68.06,74.2,80.39,78.94,84.33,77.1,6.27,5.89,4.92,1161256.0,1537127.6333333333,128396271.0,121917534.0,0.93,-0.15,3495689491.654733,1.27,167,96.49,11,-5.81,287,30.65,3.32,2.23,0.99,1.47,130.6,0.231,22.88,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,2026-11-05,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:WIX&interval=D,False,True,False
RBLX,Roblox Corporation,NYSE,Packaged Software,51.25,47.52,43.77,41.72,43.81,45.66,50.38,57.6,47.35,45.07,51.54,49.67,4.12,4.71,2.41,10028553.2,10829904.2,555032590.0,451838043.0,0.95,6.44,36611766381.848595,32.29,16,9.74,162,-9.44,306,10.87,3.61,17.09,2.91,0.78,65.5,0.396,26.99,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,2026-11-11,False,True,3,"LoD>60% ATR, below 200-MA, large gap",EMA,4,https://www.tradingview.com/chart/?symbol=NYSE:RBLX&interval=D,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.51,4.54,3.33,3.28,3.88,10.02,14.17,22.72,4.75,4.07,5.89,4.44,31.77,30.51,1.38,30439743.2,10795134.508333333,48686057.0,35448847.0,0.02,0.18,36429488.1,64.6,4,-59.67,435,-76.54,442,-23.87,0.54,35.31,0.35,1.05,5.1,2.395,429.86,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,,False,False,4,"thin RVOL, below 200-MA",near21,3,https://www.tradingview.com/chart/?symbol=NASDAQ:FTFT&interval=D,True,False,False
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,8.9,8.77,9.01,7.96,10.01,19.13,22.91,23.53,8.88,8.88,9.28,8.84,7.49,10.73,0.96,2754675.8,8741309.133333333,77797651.0,69561881.0,0.87,0.88,517437021.4128034,30.69,18,-69.02,441,-69.5,440,-35.94,-1.03,-1.26,0.02,0.46,6.3,0.336,165.86,False,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-17,False,False,4,"thin RVOL, below 200-MA","EMA, near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:CAPR&interval=D,True,False,False
