scope,window,industry,members,median_pct,mean_pct
all,1m,Consumer Sundries,4,-11.0,-10.8
all,1m,Beverages: Non-Alcoholic,14,-11.22,-14.82
all,1m,Advertising/Marketing Services,34,-11.45,-11.42
all,1m,Computer Communications,11,-11.55,-2.78
all,1m,Aluminum,5,-11.88,-9.47
all,1m,Coal,10,-11.9,-13.68
all,1m,Containers/Packaging,20,-12.2,-11.33
all,1m,Other Transportation,13,-12.8,-13.4
all,1m,Biotechnology,283,-12.97,-11.95
all,1m,Discount Stores,3,-13.24,-10.53
all,1m,Beverages: Alcoholic,10,-13.39,-22.13
all,1m,Other Metals/Minerals,68,-13.55,-15.01
all,1m,Food: Major Diversified,8,-13.6,-17.02
all,1m,Home Improvement Chains,5,-13.91,-12.24
all,1m,Construction Materials,16,-14.0,-13.16
all,1m,Restaurants,49,-15.37,-14.57
all,1m,Insurance Brokers/Services,18,-15.91,-16.76
all,1m,Casinos/Gaming,14,-16.46,-11.05
all,1m,Food: Meat/Fish/Dairy,8,-16.81,-19.27
all,1w,Computer Processing Hardware,18,5.11,4.93
all,1w,Industrial Conglomerates,3,4.88,6.28
all,1w,Semiconductors,88,4.62,4.91
all,1w,Computer Communications,11,3.29,6.31
all,1w,Electronic Components,24,2.41,3.67
all,1w,Airlines,19,2.38,4.82
all,1w,Data Processing Services,54,1.96,4.42
all,1w,Department Stores,4,1.81,3.88
all,1w,Electronics/Appliance Stores,4,1.74,1.89
all,1w,Electronics Distributors,10,1.55,2.59
all,1w,Computer Peripherals,21,1.31,4.26
all,1w,Apparel/Footwear Retail,30,1.25,-0.66
all,1w,Electronic Production Equipment,29,1.0,0.93
all,1w,Electronics/Appliances,20,0.66,3.1
all,1w,Aerospace & Defense,78,0.21,0.84
all,1w,Telecommunications Equipment,32,0.17,0.19
all,1w,Electronic Equipment/Instruments,42,0.0,2.79
all,1w,Financial Conglomerates,363,0.0,2.4
all,1w,Pharmaceuticals: Other,25,-0.08,0.4
all,1w,Apparel/Footwear,34,-0.18,0.27
all,1w,Home Furnishings,18,-0.18,7.31
all,1w,Office Equipment/Supplies,4,-0.4,-0.51
all,1w,Industrial Machinery,98,-0.45,-0.43
all,1w,Wholesale Distributors,72,-0.47,-1.04
all,1w,Textiles,5,-0.67,0.08
all,1w,Electrical Products,73,-0.73,-1.12
all,1w,Oil & Gas Pipelines,32,-0.79,-1.08
all,1w,Homebuilding,24,-0.81,-0.74
all,1w,Miscellaneous,4,-0.9,-3.66
all,1w,Publishing: Books/Magazines,5,-0.96,-1.21
all,1w,Medical Specialties,207,-0.97,0.2
all,1w,Information Technology Services,88,-1.01,0.76
all,1w,Food Distributors,11,-1.06,-4.17
all,1w,Internet Retail,28,-1.07,-2.5
all,1w,Trucks/Construction/Farm Machinery,31,-1.07,0.19
all,1w,Packaged Software,355,-1.08,0.64
all,1w,Metal Fabrication,17,-1.09,-1.19
all,1w,Life/Health Insurance,27,-1.11,-0.9
all,1w,Miscellaneous Commercial Services,153,-1.16,2.98
all,1w,Discount Stores,3,-1.23,-2.78
all,1w,Investment Managers,85,-1.24,0.67
all,1w,Household/Personal Care,23,-1.29,-1.89
all,1w,Oil & Gas Production,39,-1.29,-2.24
all,1w,Railroads,6,-1.37,-1.36
all,1w,Tobacco,3,-1.37,-5.99
all,1w,Investment Trusts/Mutual Funds,103,-1.41,-1.47
all,1w,Chemicals: Major Diversified,12,-1.42,-1.73
all,1w,Chemicals: Specialty,56,-1.42,-1.9
all,1w,Containers/Packaging,20,-1.42,-1.78
all,1w,Industrial Specialties,18,-1.44,-1.27
all,1w,Internet Software/Services,84,-1.57,-0.69
all,1w,Real Estate Investment Trusts,340,-1.63,-2.05
all,1w,Restaurants,49,-1.64,-0.39
all,1w,Tools & Hardware,5,-1.64,-1.97
all,1w,Recreational Products,24,-1.74,2.31
all,1w,Movies/Entertainment,43,-1.89,-0.48
all,1w,Advertising/Marketing Services,34,-1.94,1.32
all,1w,Other Metals/Minerals,68,-1.94,-2.41
all,1w,Specialty Stores,67,-1.94,-2.71
all,1w,Finance/Rental/Leasing,126,-2.03,-2.7
all,1w,Savings Banks,39,-2.03,-1.71
all,1w,Financial Publishing/Services,8,-2.08,-4.53
all,1w,Personnel Services,23,-2.08,-2.45
all,1w,Specialty Telecommunications,8,-2.09,9.08
all,1w,Major Banks,134,-2.12,-2.29
all,1w,Regional Banks,256,-2.22,-2.03
all,1w,Investment Banks/Brokers,55,-2.28,-1.58
all,1w,Medical Distributors,8,-2.28,-3.1
all,1w,Integrated Oil,42,-2.38,-2.34
all,1w,Alternative Power Generation,12,-2.44,-2.34
all,1w,Food: Specialty/Candy,39,-2.46,-3.0
all,1w,Pharmaceuticals: Major,310,-2.47,-2.09
all,1w,Precious Metals,70,-2.53,-1.33
all,1w,Contract Drilling,11,-2.6,-0.97
all,1w,Pulp & Paper,5,-2.78,-5.23
all,1w,Other Consumer Services,35,-2.85,-3.25
all,1w,Hotels/Resorts/Cruise lines,19,-2.92,0.47
all,1w,Real Estate Development,52,-3.03,-3.79
all,1w,Beverages: Alcoholic,10,-3.12,0.07
all,1w,Miscellaneous Manufacturing,12,-3.12,-2.84
all,1w,Commercial Printing/Forms,11,-3.16,-1.61
all,1w,Oilfield Services/Equipment,33,-3.2,-2.29
all,1w,Property/Casualty Insurance,48,-3.23,-2.88
all,1w,Building Products,24,-3.25,-1.55
all,1w,Automotive Aftermarket,5,-3.27,-3.3
all,1w,Electric Utilities,73,-3.28,-1.88
all,1w,Agricultural Commodities/Milling,31,-3.33,0.16
all,1w,Consumer Sundries,4,-3.37,-2.99
all,1w,Hospital/Nursing Management,12,-3.38,-3.61
all,1w,Food Retail,15,-3.44,-6.59
all,1w,Medical/Nursing Services,56,-3.46,-4.26
all,1w,Steel,15,-3.47,-3.06
all,1w,Major Telecommunications,15,-3.54,-5.0
all,1w,Multi-Line Insurance,52,-3.63,-4.36
all,1w,Broadcasting,15,-3.65,-4.21
all,1w,Engineering & Construction,65,-3.67,-1.94
all,1w,Gas Distributors,21,-3.69,-5.73
all,1w,Forest Products,5,-3.73,-5.48
all,1w,Motor Vehicles,31,-3.76,-8.27
all,1w,Wireless Telecommunications,16,-4.11,-4.16
